hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:28:17.326373,"[168, 168, 165]","[356, 356, 363]",Contact detected,True,163
True,False,2024-08-12 17:28:18.315727,"[168, 166, 165]","[356, 360, 363]",Contact detected,True,163
True,False,2024-08-12 17:28:19.306082,"[166, 168]","[360, 356]",Contact detected,True,163
True,False,2024-08-12 17:28:20.326354,"[166, 166, 166]","[360, 360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:21.315709,"[166, 166, 166]","[360, 360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:22.306061,"[168, 166, 166]","[356, 360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:23.326335,"[166, 166]","[360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:24.315689,"[168, 168, 172]","[356, 356, 348]",Contact detected,True,163
True,False,2024-08-12 17:28:25.306042,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:26.325318,"[166, 165, 166]","[360, 363, 360]",Contact detected,True,165
True,False,2024-08-12 17:28:27.315670,"[168, 165]","[356, 363]",Contact detected,True,165
True,False,2024-08-12 17:28:28.306023,"[168, 168, 166]","[356, 356, 360]",Contact detected,True,164
True,False,2024-08-12 17:28:29.326296,"[165, 168, 166]","[363, 356, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:30.315653,"[166, 166]","[360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:31.306005,"[166, 168, 166]","[360, 356, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:32.326277,"[168, 166, 165]","[356, 360, 363]",Contact detected,True,163
True,False,2024-08-12 17:28:33.315632,"[168, 168]","[356, 356]",Contact detected,True,163
True,False,2024-08-12 17:28:34.305986,"[166, 168, 166]","[360, 356, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:35.326258,"[168, 166, 166]","[356, 360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:36.315613,"[166, 166, 168]","[360, 360, 356]",Contact detected,True,163
True,False,2024-08-12 17:28:37.335887,"[168, 166]","[356, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:38.326239,"[168, 166, 166]","[356, 360, 360]",Contact detected,True,163
True,False,2024-08-12 17:28:39.315594,"[168, 166, 166]","[356, 360, 360]",Contact detected,True,164
True,False,2024-08-12 17:28:40.305952,"[170, 168, 168]","[352, 356, 356]",Contact detected,True,164
True,False,2024-08-12 17:28:41.326220,"[166, 170]","[360, 352]",Contact detected,True,164
True,False,2024-08-12 17:28:42.315575,"[166, 168, 168]","[360, 356, 356]",Contact detected,True,164
