rr_hr,hrv_uint8,timestamp_received,rr,ee_status,hr,sensor_contact,rr_interval
"[108, 110]",True,2024-06-19 13:40:22.812247,"[552, 544]",False,110,Sensor contact not supported,True
"[111, 113]",True,2024-06-19 13:40:23.811052,"[537, 530]",False,110,Sensor contact not supported,True
"[114, 116]",True,2024-06-19 13:40:24.809368,"[524, 517]",False,111,Sensor contact not supported,True
[117],True,2024-06-19 13:40:25.803391,[512],False,112,Sensor contact not supported,True
"[118, 119, 120]",True,2024-06-19 13:40:26.807328,"[506, 501, 498]",False,115,Sensor contact not supported,True
"[121, 122]",True,2024-06-19 13:40:27.799422,"[493, 489]",False,117,Sensor contact not supported,True
"[123, 124]",True,2024-06-19 13:40:29.800760,"[485, 481]",False,119,Sensor contact not supported,True
"[125, 126]",True,2024-06-19 13:40:29.802750,"[477, 474]",False,121,Sensor contact not supported,True
"[127, 128]",True,2024-06-19 13:40:30.790401,"[470, 467]",False,123,Sensor contact not supported,True
"[129, 129]",True,2024-06-19 13:40:31.795306,"[464, 462]",False,125,Sensor contact not supported,True
"[130, 131]",True,2024-06-19 13:40:32.792767,"[459, 457]",False,127,Sensor contact not supported,True
"[131, 132, 133]",True,2024-06-19 13:40:33.790354,"[455, 453, 451]",False,129,Sensor contact not supported,True
"[133, 134]",True,2024-06-19 13:40:34.787540,"[448, 446]",False,131,Sensor contact not supported,True
"[135, 135]",True,2024-06-19 13:40:35.785246,"[444, 442]",False,132,Sensor contact not supported,True
"[136, 136, 137]",True,2024-06-19 13:40:36.782437,"[441, 439, 437]",False,134,Sensor contact not supported,True
"[137, 138]",True,2024-06-19 13:40:37.774706,"[435, 434]",False,135,Sensor contact not supported,True
"[138, 139]",True,2024-06-19 13:40:38.772889,"[433, 431]",False,136,Sensor contact not supported,True
"[139, 140]",True,2024-06-19 13:40:39.775498,"[430, 428]",False,137,Sensor contact not supported,True
"[140, 140, 141]",True,2024-06-19 13:40:40.764933,"[427, 426, 425]",False,139,Sensor contact not supported,True
"[141, 142]",True,2024-06-19 13:40:41.768097,"[423, 422]",False,139,Sensor contact not supported,True
"[142, 141]",True,2024-06-19 13:40:42.767824,"[422, 425]",False,140,Sensor contact not supported,True
"[140, 138, 137]",True,2024-06-19 13:40:43.765932,"[428, 432, 436]",False,140,Sensor contact not supported,True
"[136, 135]",True,2024-06-19 13:40:44.763324,"[439, 443]",False,139,Sensor contact not supported,True
"[134, 133]",True,2024-06-19 13:40:45.756323,"[447, 451]",False,138,Sensor contact not supported,True
"[131, 130]",True,2024-06-19 13:40:46.753406,"[455, 459]",False,136,Sensor contact not supported,True
"[129, 128]",True,2024-06-19 13:40:47.751224,"[463, 467]",False,134,Sensor contact not supported,True
"[127, 125]",True,2024-06-19 13:40:49.750427,"[472, 477]",False,132,Sensor contact not supported,True
"[124, 123]",True,2024-06-19 13:40:49.752425,"[481, 486]",False,130,Sensor contact not supported,True
"[122, 120]",True,2024-06-19 13:40:50.747778,"[491, 496]",False,127,Sensor contact not supported,True
"[120, 118]",True,2024-06-19 13:40:51.740348,"[500, 506]",False,125,Sensor contact not supported,True
"[117, 116]",True,2024-06-19 13:40:52.740235,"[511, 516]",False,123,Sensor contact not supported,True
"[117, 118]",True,2024-06-19 13:40:53.740633,"[510, 505]",False,121,Sensor contact not supported,True
"[120, 120]",True,2024-06-19 13:40:54.735532,"[500, 496]",False,120,Sensor contact not supported,True
"[122, 123]",True,2024-06-19 13:40:55.735295,"[491, 487]",False,120,Sensor contact not supported,True
"[124, 125, 126]",True,2024-06-19 13:40:56.732823,"[483, 479, 476]",False,122,Sensor contact not supported,True
"[127, 127]",True,2024-06-19 13:40:57.730212,"[472, 469]",False,123,Sensor contact not supported,True
"[128, 129]",True,2024-06-19 13:40:59.222382,"[466, 463]",False,125,Sensor contact not supported,True
"[130, 131]",True,2024-06-19 13:41:00.219209,"[461, 458]",False,127,Sensor contact not supported,True
"[131, 132]",True,2024-06-19 13:41:01.223169,"[457, 454]",False,128,Sensor contact not supported,True
"[132, 133, 134]",True,2024-06-19 13:41:02.219651,"[452, 450, 447]",False,130,Sensor contact not supported,True
"[134, 135]",True,2024-06-19 13:41:03.216789,"[446, 443]",False,132,Sensor contact not supported,True
"[135, 136]",True,2024-06-19 13:41:04.209709,"[442, 440]",False,133,Sensor contact not supported,True
"[136, 137]",True,2024-06-19 13:41:05.211663,"[438, 437]",False,134,Sensor contact not supported,True
"[137, 138, 138]",True,2024-06-19 13:41:06.209068,"[435, 433, 432]",False,136,Sensor contact not supported,True
"[139, 139]",True,2024-06-19 13:41:07.206850,"[430, 429]",False,137,Sensor contact not supported,True
"[140, 140]",True,2024-06-19 13:41:08.201948,"[428, 426]",False,138,Sensor contact not supported,True
"[141, 141, 141]",True,2024-06-19 13:41:09.194528,"[425, 424, 423]",False,139,Sensor contact not supported,True
"[142, 142]",True,2024-06-19 13:41:10.192733,"[422, 421]",False,140,Sensor contact not supported,True
"[142, 143, 143]",True,2024-06-19 13:41:11.197516,"[420, 419, 418]",False,141,Sensor contact not supported,True
"[143, 144]",True,2024-06-19 13:41:12.194623,"[417, 416]",False,142,Sensor contact not supported,True
"[144, 144]",True,2024-06-19 13:41:13.188505,"[416, 415]",False,143,Sensor contact not supported,True
"[144, 143, 143]",True,2024-06-19 13:41:14.183855,"[414, 417, 419]",False,143,Sensor contact not supported,True
"[141, 140]",True,2024-06-19 13:41:15.186590,"[423, 426]",False,143,Sensor contact not supported,True
"[139, 138]",True,2024-06-19 13:41:16.183980,"[429, 433]",False,142,Sensor contact not supported,True
"[137, 136, 135]",True,2024-06-19 13:41:17.175322,"[437, 440, 444]",False,140,Sensor contact not supported,True
"[133, 132]",True,2024-06-19 13:41:18.179001,"[448, 452]",False,138,Sensor contact not supported,True
"[131, 130]",True,2024-06-19 13:41:19.172974,"[456, 459]",False,136,Sensor contact not supported,True
"[129, 127]",True,2024-06-19 13:41:20.173494,"[464, 469]",False,134,Sensor contact not supported,True
"[126, 125]",True,2024-06-19 13:41:21.167498,"[473, 478]",False,132,Sensor contact not supported,True
"[124, 122]",True,2024-06-19 13:41:22.166457,"[483, 488]",False,129,Sensor contact not supported,True
"[121, 120]",True,2024-06-19 13:41:23.159393,"[493, 498]",False,127,Sensor contact not supported,True
"[119, 118]",True,2024-06-19 13:41:24.158599,"[502, 507]",False,125,Sensor contact not supported,True
"[119, 120]",True,2024-06-19 13:41:25.161490,"[503, 498]",False,123,Sensor contact not supported,True
"[121, 122]",True,2024-06-19 13:41:26.154871,"[494, 490]",False,122,Sensor contact not supported,True
"[123, 124]",True,2024-06-19 13:41:27.156229,"[486, 482]",False,122,Sensor contact not supported,True
"[125, 126]",True,2024-06-19 13:41:28.154894,"[478, 475]",False,123,Sensor contact not supported,True
"[127, 128, 129]",True,2024-06-19 13:41:29.152662,"[471, 468, 465]",False,125,Sensor contact not supported,True
"[129, 130]",True,2024-06-19 13:41:30.149089,"[463, 460]",False,126,Sensor contact not supported,True
"[131, 131]",True,2024-06-19 13:41:31.141306,"[458, 456]",False,128,Sensor contact not supported,True
"[132, 133]",True,2024-06-19 13:41:32.139963,"[453, 451]",False,129,Sensor contact not supported,True
"[133, 134]",True,2024-06-19 13:41:33.141555,"[449, 447]",False,131,Sensor contact not supported,True
"[134, 135, 136]",True,2024-06-19 13:41:34.134199,"[445, 443, 441]",False,133,Sensor contact not supported,True
"[136, 136]",True,2024-06-19 13:41:35.129550,"[439, 438]",False,134,Sensor contact not supported,True
"[137, 138]",True,2024-06-19 13:41:36.132917,"[436, 434]",False,135,Sensor contact not supported,True
"[138, 139, 139]",True,2024-06-19 13:41:37.125671,"[433, 431, 430]",False,137,Sensor contact not supported,True
"[139, 140]",True,2024-06-19 13:41:38.129803,"[429, 427]",False,138,Sensor contact not supported,True
"[140, 141]",True,2024-06-19 13:41:39.120637,"[426, 425]",False,138,Sensor contact not supported,True
"[141, 141, 142]",True,2024-06-19 13:41:40.118044,"[424, 423, 421]",False,140,Sensor contact not supported,True
"[142, 143]",True,2024-06-19 13:41:41.117757,"[421, 419]",False,141,Sensor contact not supported,True
"[143, 143, 144]",True,2024-06-19 13:41:42.119587,"[418, 417, 416]",False,142,Sensor contact not supported,True
"[144, 144]",True,2024-06-19 13:41:43.116050,"[416, 416]",False,143,Sensor contact not supported,True
"[144, 144]",True,2024-06-19 13:41:44.114091,"[415, 414]",False,143,Sensor contact not supported,True
"[145, 144, 143]",True,2024-06-19 13:41:45.108614,"[413, 415, 418]",False,144,Sensor contact not supported,True
"[142, 141]",True,2024-06-19 13:41:46.105381,"[421, 424]",False,144,Sensor contact not supported,True
"[140, 139]",True,2024-06-19 13:41:47.106463,"[427, 431]",False,143,Sensor contact not supported,True
"[138, 136, 135]",True,2024-06-19 13:41:48.103927,"[434, 438, 442]",False,141,Sensor contact not supported,True
"[134, 133]",True,2024-06-19 13:41:49.101200,"[446, 450]",False,139,Sensor contact not supported,True
"[132, 131]",True,2024-06-19 13:41:50.099632,"[454, 458]",False,137,Sensor contact not supported,True
