timestamp_received,hr,rr_interval,rr,rr_hr,ee_status,sensor_contact,hrv_uint8
2024-06-19 14:00:11.973587,134,True,"[464, 469]","[129, 127]",False,Sensor contact not supported,True
2024-06-19 14:00:12.970648,132,True,"[473, 478]","[126, 125]",False,Sensor contact not supported,True
2024-06-19 14:00:13.967802,129,True,"[483, 488]","[124, 122]",False,Sensor contact not supported,True
2024-06-19 14:00:14.965993,127,True,"[492, 498]","[121, 120]",False,Sensor contact not supported,True
2024-06-19 14:00:15.963760,125,True,"[502, 507]","[119, 118]",False,Sensor contact not supported,True
2024-06-19 14:00:16.960963,123,True,"[503, 499]","[119, 120]",False,Sensor contact not supported,True
2024-06-19 14:00:17.958689,122,True,"[495, 490]","[121, 122]",False,Sensor contact not supported,True
2024-06-19 14:00:18.955736,122,True,"[486, 482]","[123, 124]",False,Sensor contact not supported,True
2024-06-19 14:00:19.953546,123,True,"[479, 475, 472]","[125, 126, 127]",False,Sensor contact not supported,True
2024-06-19 14:00:20.950778,125,True,"[468, 465]","[128, 129]",False,Sensor contact not supported,True
2024-06-19 14:00:21.948006,126,True,"[463, 460]","[129, 130]",False,Sensor contact not supported,True
2024-06-19 14:00:22.946231,128,True,"[458, 456]","[131, 131]",False,Sensor contact not supported,True
2024-06-19 14:00:23.943063,129,True,"[454, 451]","[132, 133]",False,Sensor contact not supported,True
2024-06-19 14:00:24.940854,131,True,"[449, 447, 445]","[133, 134, 134]",False,Sensor contact not supported,True
2024-06-19 14:00:25.938429,132,True,"[443, 441]","[135, 136]",False,Sensor contact not supported,True
2024-06-19 14:00:26.935839,134,True,"[439, 438]","[136, 136]",False,Sensor contact not supported,True
2024-06-19 14:00:27.933269,135,True,"[436, 434, 433]","[137, 138, 138]",False,Sensor contact not supported,True
2024-06-19 14:00:28.930405,136,True,"[432, 430]","[138, 139]",False,Sensor contact not supported,True
2024-06-19 14:00:29.928300,137,True,"[429, 427]","[139, 140]",False,Sensor contact not supported,True
2024-06-19 14:00:30.926115,139,True,"[426, 425, 424]","[140, 141, 141]",False,Sensor contact not supported,True
2024-06-19 14:00:31.923122,140,True,"[423, 422]","[141, 142]",False,Sensor contact not supported,True
2024-06-19 14:00:32.921176,141,True,"[421, 419]","[142, 143]",False,Sensor contact not supported,True
2024-06-19 14:00:33.917916,142,True,"[418, 417, 417]","[143, 143, 143]",False,Sensor contact not supported,True
2024-06-19 14:00:34.915697,143,True,"[416, 416]","[144, 144]",False,Sensor contact not supported,True
2024-06-19 14:00:35.912741,143,True,"[415, 414, 413]","[144, 144, 145]",False,Sensor contact not supported,True
2024-06-19 14:00:36.910913,144,True,"[416, 418]","[144, 143]",False,Sensor contact not supported,True
2024-06-19 14:00:37.907985,144,True,"[421, 424]","[142, 141]",False,Sensor contact not supported,True
2024-06-19 14:00:38.905493,142,True,"[427, 431, 434]","[140, 139, 138]",False,Sensor contact not supported,True
2024-06-19 14:00:39.903504,141,True,"[438, 442]","[136, 135]",False,Sensor contact not supported,True
2024-06-19 14:00:40.900570,139,True,"[446, 450]","[134, 133]",False,Sensor contact not supported,True
2024-06-19 14:00:41.898100,137,True,"[454, 458]","[132, 131]",False,Sensor contact not supported,True
2024-06-19 14:00:42.896396,135,True,"[462, 466]","[129, 128]",False,Sensor contact not supported,True
2024-06-19 14:00:43.893655,132,True,"[471, 475]","[127, 126]",False,Sensor contact not supported,True
2024-06-19 14:00:44.890745,130,True,"[480, 485]","[125, 123]",False,Sensor contact not supported,True
2024-06-19 14:00:45.888079,128,True,"[490, 494]","[122, 121]",False,Sensor contact not supported,True
2024-06-19 14:00:46.885342,125,True,"[500, 504]","[120, 119]",False,Sensor contact not supported,True
2024-06-19 14:00:47.883634,123,True,"[502, 498]","[119, 120]",False,Sensor contact not supported,True
2024-06-19 14:00:48.880959,122,True,"[493, 489]","[121, 122]",False,Sensor contact not supported,True
2024-06-19 14:00:49.878111,122,True,"[485, 481]","[123, 124]",False,Sensor contact not supported,True
2024-06-19 14:00:50.875399,124,True,"[477, 474, 471]","[125, 126, 127]",False,Sensor contact not supported,True
2024-06-19 14:00:51.873270,125,True,"[468, 465]","[128, 129]",False,Sensor contact not supported,True
2024-06-19 14:00:52.870502,126,True,"[462, 459]","[129, 130]",False,Sensor contact not supported,True
2024-06-19 14:00:53.868068,128,True,"[458, 455]","[131, 131]",False,Sensor contact not supported,True
2024-06-19 14:00:54.865920,130,True,"[453, 450, 449]","[132, 133, 133]",False,Sensor contact not supported,True
2024-06-19 14:00:55.863471,131,True,"[446, 444]","[134, 135]",False,Sensor contact not supported,True
2024-06-19 14:00:56.860982,133,True,"[443, 441]","[135, 136]",False,Sensor contact not supported,True
2024-06-19 14:00:57.858421,134,True,"[439, 437]","[136, 137]",False,Sensor contact not supported,True
2024-06-19 14:00:58.855779,136,True,"[436, 434, 433]","[137, 138, 138]",False,Sensor contact not supported,True
2024-06-19 14:00:59.853414,137,True,"[431, 430]","[139, 139]",False,Sensor contact not supported,True
2024-06-19 14:01:00.850722,138,True,"[428, 427]","[140, 140]",False,Sensor contact not supported,True
2024-06-19 14:01:01.848609,139,True,"[426, 425, 424]","[140, 141, 141]",False,Sensor contact not supported,True
2024-06-19 14:01:02.845358,140,True,"[422, 421]","[142, 142]",False,Sensor contact not supported,True
2024-06-19 14:01:03.842984,141,True,"[420, 419, 418]","[142, 143, 143]",False,Sensor contact not supported,True
2024-06-19 14:01:04.840393,142,True,"[417, 416]","[143, 144]",False,Sensor contact not supported,True
2024-06-19 14:01:05.838036,143,True,"[416, 415]","[144, 144]",False,Sensor contact not supported,True
2024-06-19 14:01:06.835326,144,True,"[415, 414, 413]","[144, 144, 145]",False,Sensor contact not supported,True
2024-06-19 14:01:07.832880,144,True,"[415, 417]","[144, 143]",False,Sensor contact not supported,True
2024-06-19 14:01:08.830370,144,True,"[420, 423]","[142, 141]",False,Sensor contact not supported,True
2024-06-19 14:01:09.828403,142,True,"[426, 430, 433]","[140, 139, 138]",False,Sensor contact not supported,True
2024-06-19 14:01:10.825533,141,True,"[437, 441]","[137, 136]",False,Sensor contact not supported,True
2024-06-19 14:01:11.823115,139,True,"[444, 448]","[135, 133]",False,Sensor contact not supported,True
2024-06-19 14:01:12.820294,137,True,"[453, 457]","[132, 131]",False,Sensor contact not supported,True
2024-06-19 14:01:13.818189,135,True,"[460, 464]","[130, 129]",False,Sensor contact not supported,True
2024-06-19 14:01:14.815320,133,True,"[469, 474]","[127, 126]",False,Sensor contact not supported,True
2024-06-19 14:01:15.812753,131,True,"[478, 483]","[125, 124]",False,Sensor contact not supported,True
2024-06-19 14:01:16.810774,128,True,"[488, 493]","[122, 121]",False,Sensor contact not supported,True
2024-06-19 14:01:17.808288,126,True,"[498, 502]","[120, 119]",False,Sensor contact not supported,True
2024-06-19 14:01:18.805829,124,True,"[502, 498]","[119, 120]",False,Sensor contact not supported,True
2024-06-19 14:01:19.803438,122,True,"[494, 490, 486]","[121, 122, 123]",False,Sensor contact not supported,True
2024-06-19 14:01:20.800824,123,True,"[481, 478]","[124, 125]",False,Sensor contact not supported,True
2024-06-19 14:01:21.797681,124,True,"[475, 471]","[126, 127]",False,Sensor contact not supported,True
2024-06-19 14:01:22.795259,125,True,"[468, 465]","[128, 129]",False,Sensor contact not supported,True
2024-06-19 14:01:23.792608,126,True,"[462, 460]","[129, 130]",False,Sensor contact not supported,True
2024-06-19 14:01:24.790406,128,True,"[458, 456]","[131, 131]",False,Sensor contact not supported,True
