ee_status,hr,timestamp_received,rr_hr,sensor_contact,hrv_uint8,rr,rr_interval
False,120,2024-06-20 14:59:54.322807,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:55.099170,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:55.875933,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:56.651241,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:57.427622,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:58.204102,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 14:59:58.980057,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 14:59:59.756164,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:00.532444,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:01.308621,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:02.085555,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:02.861411,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:03.638334,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:04.414993,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:05.190708,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:05.966250,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:06.742768,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:07.519062,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:08.295483,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:09.072079,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:09.847788,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:10.623770,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:11.400545,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:12.176841,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:12.952695,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:13.729401,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:14.505415,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:15.281347,[120],Sensor contact not supported,True,[500],True
False,120,2024-06-20 15:00:16.057527,"[120, 120]",Sensor contact not supported,True,"[500, 500]",True
False,120,2024-06-20 15:00:16.833795,[120],Sensor contact not supported,True,[500],True
