timestamp_received,rr_hr,hrv_uint8,hr,sensor_contact,ee_status,rr_interval,rr
2024-08-12 12:12:53.455517,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:54.445197,"[121, 124]",True,120,Contact detected,False,True,"[492, 481]"
2024-08-12 12:12:55.465470,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:56.455864,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:57.445178,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:12:58.465451,"[122, 123]",True,120,Contact detected,False,True,"[488, 485]"
2024-08-12 12:12:59.455803,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:00.445160,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:01.465432,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:02.455785,"[122, 123]",True,120,Contact detected,False,True,"[488, 485]"
2024-08-12 12:13:03.445140,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:04.465412,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:05.455766,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:06.445121,"[122, 121]",True,120,Contact detected,False,True,"[488, 492]"
2024-08-12 12:13:07.465394,"[124, 122]",True,120,Contact detected,False,True,"[481, 488]"
2024-08-12 12:13:08.455746,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:09.445103,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:10.465375,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:11.455727,"[123, 122]",True,120,Contact detected,False,True,"[485, 488]"
2024-08-12 12:13:12.445083,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:13.435436,"[122, 122]",True,120,Contact detected,False,True,"[488, 488]"
2024-08-12 12:13:14.455708,[122],True,120,Contact detected,False,True,[488]
2024-08-12 12:13:15.474984,[122],True,120,Contact detected,False,True,[488]
