,time,amplitude
369,-0.000359956,-0.4343
370,-0.000359954,-0.4343
371,-0.000359952,-0.4343
372,-0.00035995,-0.4343
373,-0.000359948,-0.4343
374,-0.000359946,-0.4343
375,-0.000359944,-0.4343
376,-0.000359942,-0.4343
377,-0.00035994,-0.4343
378,-0.000359938,-0.4343
379,-0.000359936,-0.4141
380,-0.000359934,-0.4343
381,-0.000359932,-0.4343
382,-0.00035993,-0.4343
383,-0.000359928,-0.4343
384,-0.000359926,-0.4343
385,-0.000359924,-0.4343
386,-0.000359922,-0.4343
387,-0.00035992,-0.4343
388,-0.000359918,-0.4343
389,-0.000359916,-0.4343
390,-0.000359914,-0.4343
391,-0.000359912,-0.4343
392,-0.00035991,-0.4343
393,-0.000359908,-0.4343
394,-0.000359906,-0.4141
395,-0.000359904,-0.4343
396,-0.000359902,-0.4343
397,-0.0003599,-0.4343
398,-0.000359898,-0.4343
399,-0.000359896,-0.4343
400,-0.000359894,-0.4343
401,-0.000359892,-0.4343
402,-0.00035989,-0.4343
403,-0.000359888,-0.4343
404,-0.000359886,-0.4343
405,-0.000359884,-0.4343
406,-0.000359882,-0.4343
407,-0.00035988,-0.4141
408,-0.000359878,-0.4141
409,-0.000359876,-0.4343
410,-0.000359874,-0.4343
411,-0.000359872,-0.4343
412,-0.00035987,-0.4141
413,-0.000359868,-0.4343
414,-0.000359866,-0.4343
415,-0.000359864,-0.4141
416,-0.000359862,-0.4343
417,-0.00035986,-0.4343
418,-0.000359858,-0.4343
419,-0.000359856,-0.4141
420,-0.000359854,-0.4141
421,-0.000359852,-0.4343
422,-0.00035985,-0.4343
423,-0.000359848,-0.4343
424,-0.000359846,-0.4343
425,-0.000359844,-0.4141
426,-0.000359842,-0.4343
427,-0.00035984,-0.4343
428,-0.000359838,-0.4343
429,-0.000359836,-0.4141
430,-0.000359834,-0.4343
431,-0.000359832,-0.4343
432,-0.00035983,-0.4343
433,-0.000359828,-0.4343
434,-0.000359826,-0.4343
435,-0.000359824,-0.4343
436,-0.000359822,-0.4343
437,-0.00035982,-0.4343
438,-0.000359818,-0.4141
439,-0.000359816,-0.4343
440,-0.000359814,-0.4343
441,-0.000359812,-0.4343
442,-0.00035981,-0.4343
443,-0.000359808,-0.4343
444,-0.000359806,-0.4343
445,-0.000359804,-0.4343
446,-0.000359802,-0.4343
447,-0.0003598,-0.4343
448,-0.000359798,-0.4343
449,-0.000359796,-0.4343
450,-0.000359794,-0.4343
451,-0.000359792,-0.4343
452,-0.00035979,-0.4141
453,-0.000359788,-0.4141
454,-0.000359786,-0.4343
455,-0.000359784,-0.4343
456,-0.000359782,-0.4343
457,-0.00035978,-0.4343
458,-0.000359778,-0.4343
459,-0.000359776,-0.4343
460,-0.000359774,-0.4141
461,-0.000359772,-0.4343
462,-0.00035977,-0.4343
463,-0.000359768,-0.4343
464,-0.000359766,-0.4343
465,-0.000359764,-0.4141
466,-0.000359762,-0.4343
467,-0.00035976,-0.4141
468,-0.000359758,-0.4141
469,-0.000359756,-0.4343
470,-0.000359754,-0.4343
471,-0.000359752,-0.4343
472,-0.00035975,-0.4343
473,-0.000359748,-0.4343
474,-0.000359746,-0.4343
475,-0.000359744,-0.4343
476,-0.000359742,-0.4343
477,-0.00035974,-0.4343
478,-0.000359738,-0.4343
479,-0.000359736,-0.4141
480,-0.000359734,-0.4141
481,-0.000359732,-0.4141
482,-0.00035973,-0.4141
483,-0.000359728,-0.4343
484,-0.000359726,-0.4343
485,-0.000359724,-0.4343
486,-0.000359722,-0.4343
487,-0.00035972,-0.4343
488,-0.000359718,-0.4141
489,-0.000359716,-0.4343
490,-0.000359714,-0.4343
491,-0.000359712,-0.4343
492,-0.00035971,-0.4343
493,-0.000359708,-0.4343
494,-0.000359706,-0.4343
495,-0.000359704,-0.4343
496,-0.000359702,-0.4141
497,-0.0003597,-0.4343
498,-0.000359698,-0.4343
499,-0.000359696,-0.4343
500,-0.000359694,-0.4343
501,-0.000359692,-0.4343
502,-0.00035969,-0.4343
503,-0.000359688,-0.4343
504,-0.000359686,-0.4343
505,-0.000359684,-0.4343
506,-0.000359682,-0.4343
507,-0.00035968,-0.4343
508,-0.000359678,-0.4343
509,-0.000359676,-0.4343
510,-0.000359674,-0.4343
511,-0.000359672,-0.4343
512,-0.00035967,-0.4343
513,-0.000359668,-0.4343
514,-0.000359666,-0.4141
515,-0.000359664,-0.4343
516,-0.000359662,-0.4343
517,-0.00035966,-0.4141
518,-0.000359658,-0.4141
519,-0.000359656,-0.4141
520,-0.000359654,-0.4141
521,-0.000359652,-0.4343
522,-0.00035965,-0.4343
523,-0.000359648,-0.4343
524,-0.000359646,-0.4343
525,-0.000359644,-0.4343
526,-0.000359642,-0.4343
527,-0.00035964,-0.4343
528,-0.000359638,-0.4141
529,-0.000359636,-0.4141
530,-0.000359634,-0.4141
531,-0.000359632,-0.4343
532,-0.00035963,-0.4343
533,-0.000359628,-0.4343
534,-0.000359626,-0.4343
535,-0.000359624,-0.4343
536,-0.000359622,-0.4343
537,-0.00035962,-0.4343
538,-0.000359618,-0.4343
539,-0.000359616,-0.4343
540,-0.000359614,-0.4343
541,-0.000359612,-0.4343
542,-0.00035961,-0.4343
543,-0.000359608,-0.4343
544,-0.000359606,-0.4343
545,-0.000359604,-0.4343
546,-0.000359602,-0.4343
547,-0.0003596,-0.4343
548,-0.000359598,-0.4343
549,-0.000359596,-0.4343
550,-0.000359594,-0.4343
551,-0.000359592,-0.4141
552,-0.00035959,-0.4343
553,-0.000359588,-0.4343
554,-0.000359586,-0.4343
555,-0.000359584,-0.4343
556,-0.000359582,-0.4343
557,-0.00035958,-0.4343
558,-0.000359578,-0.4343
559,-0.000359576,-0.4343
560,-0.000359574,-0.4343
561,-0.000359572,-0.4141
562,-0.00035957,-0.4343
563,-0.000359568,-0.4343
564,-0.000359566,-0.4343
565,-0.000359564,-0.4343
566,-0.000359562,-0.4343
567,-0.00035956,-0.4141
568,-0.000359558,-0.4141
569,-0.000359556,-0.4141
570,-0.000359554,-0.4343
571,-0.000359552,-0.4343
572,-0.00035955,-0.4343
573,-0.000359548,-0.4343
574,-0.000359546,-0.4343
575,-0.000359544,-0.4343
