time,hr,freq_hz,duration
44417,157.06519604230843,2.6177532673718074,381.0
44799,157.49078233413374,2.624846372235562,382.0
45179,157.02191365377175,2.617031894229529,380.0
45561,156.43434370961975,2.607239061826996,382.0
45944,156.472242292677,2.6078707048779504,383.0
46327,157.12789806850128,2.618798301141688,383.0
46708,158.40402783388387,2.640067130564731,381.0
47086,158.11347604574328,2.635224600762388,378.0
47465,154.625206320507,2.57708677200845,379.0
47853,157.15899018391386,2.619316503065231,388.0
48234,157.09583234710252,2.6182638724517084,381.0
48615,157.83053168298514,2.6305088613830856,381.0
48995,155.84687070207016,2.5974478450345027,380.0
49379,157.97195432879855,2.6328659054799757,384.0
49758,157.41185819315743,2.623530969885957,379.0
50139,155.996034898035,2.59993391496725,381.0
50523,156.1454024175095,2.6024233736251583,384.0
50907,159.16889151076506,2.652814858512751,384.0
51283,157.00232392054562,2.6167053986757605,376.0
51665,157.07915045243246,2.617985840873874,382.0
52046,157.08791310514275,2.6181318850857123,381.0
52427,156.9848433091881,2.616414055153135,381.0
52809,154.25102311432852,2.5708503852388085,382.0
53197,157.84961809961763,2.6308269683269603,388.0
53577,157.72338190227453,2.6287230317045753,380.0
53957,157.7961032024181,2.629935053373635,380.0
54337,158.7032338603937,2.6450538976732285,380.0
54715,156.60524431334196,2.610087405222366,378.0
55098,156.28314019387693,2.604719003231282,383.0
55481,157.9033527852757,2.6317225464212615,383.0
55860,157.0616997587445,2.617694995979075,379.0
56242,157.02944679945153,2.6171574466575254,382.0
56624,155.0455999002353,2.584093331670588,382.0
57010,158.40049995914148,2.640008332652358,386.0
57388,158.21919741588877,2.6369866235981463,378.0
57767,155.04373452171458,2.5840622420285766,379.0
58153,158.763903854245,2.646065064237417,386.0
58530,156.43263012474918,2.607210502079153,377.0
58913,156.4619807171181,2.6076996786186353,383.0
59296,157.49613963703493,2.6249356606172487,383.0
59676,158.74846299186822,2.645807716531137,380.0
60053,159.23084691020614,2.6538474485034356,377.0
60429,158.9723103091507,2.649538505152512,376.0
60806,158.3365880389275,2.6389431339821248,377.0
61184,157.68805576528104,2.628134262754684,378.0
61564,157.39696336754733,2.6232827227924553,380.0
61945,157.48556983878476,2.6247594973130792,381.0
62325,157.07632419265676,2.6179387365442794,380.0
62706,157.25728336049494,2.6209547226749157,381.0
63087,157.3104984990719,2.6218416416511987,381.0
63468,156.58553561763622,2.6097589269606036,381.0
63851,159.55906818738998,2.6593178031231663,383.0
64227,157.53356239190447,2.6255593731984077,376.0
64607,157.90294748567342,2.6317157914278906,380.0
64986,156.30415052470778,2.6050691754117965,379.0
65369,156.45467283066841,2.60757788051114,383.0
65752,156.35965887322942,2.605994314553824,383.0
66135,159.51130893583243,2.658521815597207,383.0
66511,158.80512050471634,2.646752008411939,376.0
66888,157.50613716189937,2.625102286031656,377.0
67268,157.47781611608576,2.6246302686014293,380.0
67649,157.3461225091312,2.6224353751521865,381.0
68030,157.35467063323821,2.6225778438873038,381.0
68411,157.29033460700788,2.6215055767834645,381.0
68792,158.71178908462525,2.6451964847437544,381.0
69170,157.80504209146181,2.630084034857697,378.0
69550,157.74700638801392,2.6291167731335654,380.0
69930,157.74417738399464,2.6290696230665773,380.0
70310,158.28363508691217,2.6380605847818694,380.0
70689,158.51929415702287,2.641988235950381,379.0
71067,158.51813950894945,2.641968991815824,378.0
71445,158.65828016142413,2.644304669357069,378.0
71823,158.92795983891807,2.6487993306486346,378.0
72200,159.213079825712,2.653551330428533,377.0
72576,159.40142308410117,2.6566903847350196,376.0
72952,159.3821315586625,2.656368859311042,376.0
73328,159.0435623645374,2.6507260394089567,376.0
73705,158.70277579513146,2.645046263252191,377.0
74083,159.73409339875258,2.6622348899792097,378.0
74458,159.8328898524196,2.6638814975403267,375.0
74833,158.6110532068793,2.643517553447988,375.0
75211,158.37535732212925,2.639589288702154,378.0
75589,161.25048485771657,2.6875080809619427,378.0
75961,159.64925479090022,2.6608209131816705,372.0
76336,160.37509855356598,2.6729183092260995,375.0
76710,160.04919595957276,2.6674865993262125,374.0
77084,159.7124373290359,2.661873955483932,374.0
77459,159.74047538576332,2.6623412564293885,375.0
77834,159.62012411128217,2.6603354018547027,375.0
78209,161.3267119281158,2.6887785321352635,375.0
78580,159.15381988094202,2.652563664682367,371.0
78956,161.65908705749425,2.694318117624904,376.0
79327,159.54671387120328,2.659111897853388,371.0
79703,159.32920327851278,2.6554867213085465,376.0
80079,159.47357690863265,2.657892948477211,376.0
80455,161.80588213489906,2.6967647022483177,376.0
80825,162.05912682015142,2.7009854470025236,370.0
81195,159.9009978103096,2.6650166301718268,370.0
81570,159.77798234252623,2.662966372375437,375.0
81945,159.3307355085947,2.6555122584765782,375.0
82321,159.29083104657693,2.6548471841096153,376.0
82697,159.2571203312118,2.6542853388535304,376.0
83073,160.2036450727438,2.6700607512123966,376.0
83447,161.25629651830874,2.6876049419718124,374.0
83819,161.28101993502094,2.6880169989170155,372.0
84191,161.36110400584295,2.689351733430716,372.0
84562,159.68395777267833,2.6613992962113056,371.0
84937,159.5601649512768,2.6593360825212797,375.0
85313,159.84131633471725,2.664021938911954,376.0
85688,162.84693473249644,2.7141155788749405,375.0
86056,163.24233676760863,2.7207056127934774,368.0
86423,159.7043873259085,2.6617397887651415,367.0
86798,161.49074031746073,2.6915123386243454,375.0
87169,162.61960718205762,2.710326786367627,371.0
87537,161.96899211002014,2.699483201833669,368.0
