rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
"[373, 375]",True,False,Sensor contact not supported,159,"[160, 160]",True,2024-06-19 12:53:03.907545
"[374, 375, 375]",True,False,Sensor contact not supported,160,"[160, 160, 160]",True,2024-06-19 12:53:04.902963
"[375, 375, 373]",True,False,Sensor contact not supported,160,"[160, 160, 160]",True,2024-06-19 12:53:05.900995
"[375, 373]",True,False,Sensor contact not supported,160,"[160, 160]",True,2024-06-19 12:53:06.893200
"[374, 375, 375]",True,False,Sensor contact not supported,160,"[160, 160, 160]",True,2024-06-19 12:53:07.895307
"[373, 370, 373]",True,False,Sensor contact not supported,160,"[160, 162, 160]",True,2024-06-19 12:53:08.885754
"[375, 375]",True,False,Sensor contact not supported,160,"[160, 160]",True,2024-06-19 12:53:09.891031
"[376, 376, 375]",True,False,Sensor contact not supported,160,"[159, 159, 160]",True,2024-06-19 12:53:10.887692
"[373, 372, 372]",True,False,Sensor contact not supported,160,"[160, 161, 161]",True,2024-06-19 12:53:11.885499
"[373, 375]",True,False,Sensor contact not supported,160,"[160, 160]",True,2024-06-19 12:53:12.882964
"[375, 374, 368]",True,False,Sensor contact not supported,160,"[160, 160, 163]",True,2024-06-19 12:53:13.875677
"[368, 375, 371]",True,False,Sensor contact not supported,161,"[163, 160, 161]",True,2024-06-19 12:53:14.872365
"[369, 371]",True,False,Sensor contact not supported,161,"[162, 161]",True,2024-06-19 12:53:15.872121
"[372, 372, 372]",True,False,Sensor contact not supported,161,"[161, 161, 161]",True,2024-06-19 12:53:16.870832
"[368, 367, 375]",True,False,Sensor contact not supported,162,"[163, 163, 160]",True,2024-06-19 12:53:17.866553
"[368, 370, 369]",True,False,Sensor contact not supported,162,"[163, 162, 162]",True,2024-06-19 12:53:18.861474
"[369, 367]",True,False,Sensor contact not supported,162,"[162, 163]",True,2024-06-19 12:53:19.866221
"[368, 372, 370]",True,False,Sensor contact not supported,162,"[163, 161, 162]",True,2024-06-19 12:53:21.859819
"[370, 365, 363]",True,False,Sensor contact not supported,162,"[162, 164, 165]",True,2024-06-19 12:53:21.861895
"[366, 369]",True,False,Sensor contact not supported,163,"[163, 162]",True,2024-06-19 12:53:23.856406
"[372, 374, 374]",True,False,Sensor contact not supported,163,"[161, 160, 160]",True,2024-06-19 12:53:23.858396
"[371, 366, 367]",True,False,Sensor contact not supported,162,"[161, 163, 163]",True,2024-06-19 12:53:24.852981
"[367, 369]",True,False,Sensor contact not supported,163,"[163, 162]",True,2024-06-19 12:53:25.846686
"[369, 369, 369]",True,False,Sensor contact not supported,163,"[162, 162, 162]",True,2024-06-19 12:53:26.848384
"[369, 366, 364]",True,False,Sensor contact not supported,163,"[162, 163, 164]",True,2024-06-19 12:53:27.842656
"[368, 369, 367]",True,False,Sensor contact not supported,163,"[163, 162, 163]",True,2024-06-19 12:53:28.843731
"[369, 370]",True,False,Sensor contact not supported,163,"[162, 162]",True,2024-06-19 12:53:29.842484
"[369, 366, 367]",True,False,Sensor contact not supported,163,"[162, 163, 163]",True,2024-06-19 12:53:30.838161
"[369, 367, 370]",True,False,Sensor contact not supported,163,"[162, 163, 162]",True,2024-06-19 12:53:31.831658
"[370, 366, 366]",True,False,Sensor contact not supported,163,"[162, 163, 163]",True,2024-06-19 12:53:32.832504
"[368, 368]",True,False,Sensor contact not supported,163,"[163, 163]",True,2024-06-19 12:53:33.830260
"[368, 370, 365]",True,False,Sensor contact not supported,163,"[163, 162, 164]",True,2024-06-19 12:53:34.823408
"[359, 358, 359]",True,False,Sensor contact not supported,164,"[167, 167, 167]",True,2024-06-19 12:53:35.826903
"[362, 367, 371]",True,False,Sensor contact not supported,165,"[165, 163, 161]",True,2024-06-19 12:53:36.817834
"[370, 367]",True,False,Sensor contact not supported,164,"[162, 163]",True,2024-06-19 12:53:37.820549
"[368, 369, 366]",True,False,Sensor contact not supported,163,"[163, 162, 163]",True,2024-06-19 12:53:38.817986
"[364, 370, 368]",True,False,Sensor contact not supported,163,"[164, 162, 163]",True,2024-06-19 12:53:39.814667
"[366, 369]",True,False,Sensor contact not supported,163,"[163, 162]",True,2024-06-19 12:53:40.813453
"[370, 367, 367]",True,False,Sensor contact not supported,163,"[162, 163, 163]",True,2024-06-19 12:53:41.810859
"[368, 366, 367]",True,False,Sensor contact not supported,163,"[163, 163, 163]",True,2024-06-19 12:53:43.805587
"[369, 368, 366]",True,False,Sensor contact not supported,163,"[162, 163, 163]",True,2024-06-19 12:53:43.808719
"[366, 366]",True,False,Sensor contact not supported,163,"[163, 163]",True,2024-06-19 12:53:45.302060
"[366, 367, 366]",True,False,Sensor contact not supported,163,"[163, 163, 163]",True,2024-06-19 12:53:46.295113
"[367, 370, 371]",True,False,Sensor contact not supported,163,"[163, 162, 161]",True,2024-06-19 12:53:47.296805
"[365, 365]",True,False,Sensor contact not supported,163,"[164, 164]",True,2024-06-19 12:53:48.294340
"[366, 366, 366]",True,False,Sensor contact not supported,164,"[163, 163, 163]",True,2024-06-19 12:53:49.289827
"[370, 365, 367]",True,False,Sensor contact not supported,163,"[162, 164, 163]",True,2024-06-19 12:53:50.283255
"[371, 361, 362]",True,False,Sensor contact not supported,163,"[161, 166, 165]",True,2024-06-19 12:53:51.280461
"[367, 366]",True,False,Sensor contact not supported,164,"[163, 163]",True,2024-06-19 12:53:52.280788
"[363, 366, 366]",True,False,Sensor contact not supported,164,"[165, 163, 163]",True,2024-06-19 12:53:53.279585
"[366, 364, 363]",True,False,Sensor contact not supported,164,"[163, 164, 165]",True,2024-06-19 12:53:54.279404
"[365, 365, 367]",True,False,Sensor contact not supported,164,"[164, 164, 163]",True,2024-06-19 12:53:55.272976
"[368, 368]",True,False,Sensor contact not supported,164,"[163, 163]",True,2024-06-19 12:53:56.271768
"[365, 362, 364]",True,False,Sensor contact not supported,164,"[164, 165, 164]",True,2024-06-19 12:53:57.268104
"[365, 364, 364]",True,False,Sensor contact not supported,164,"[164, 164, 164]",True,2024-06-19 12:53:58.269733
"[365, 364, 366]",True,False,Sensor contact not supported,164,"[164, 164, 163]",True,2024-06-19 12:53:59.266389
"[366, 365]",True,False,Sensor contact not supported,164,"[163, 164]",True,2024-06-19 12:54:00.264616
"[364, 364, 363]",True,False,Sensor contact not supported,164,"[164, 164, 165]",True,2024-06-19 12:54:01.261718
"[364, 366, 365]",True,False,Sensor contact not supported,165,"[164, 163, 164]",True,2024-06-19 12:54:02.256223
"[364, 367, 365]",True,False,Sensor contact not supported,164,"[164, 163, 164]",True,2024-06-19 12:54:04.254250
"[363, 362]",True,False,Sensor contact not supported,164,"[165, 165]",True,2024-06-19 12:54:04.255375
"[362, 364, 366]",True,False,Sensor contact not supported,165,"[165, 164, 163]",True,2024-06-19 12:54:05.247317
"[366, 366, 367]",True,False,Sensor contact not supported,164,"[163, 163, 163]",True,2024-06-19 12:54:06.249873
"[361, 361]",True,False,Sensor contact not supported,164,"[166, 166]",True,2024-06-19 12:54:07.246820
"[363, 364, 364]",True,False,Sensor contact not supported,165,"[165, 164, 164]",True,2024-06-19 12:54:08.237763
"[364, 364, 364]",True,False,Sensor contact not supported,165,"[164, 164, 164]",True,2024-06-19 12:54:09.242014
"[366, 363, 359]",True,False,Sensor contact not supported,165,"[163, 165, 167]",True,2024-06-19 12:54:10.238938
"[360, 360, 363]",True,False,Sensor contact not supported,166,"[166, 166, 165]",True,2024-06-19 12:54:11.233115
"[364, 364]",True,False,Sensor contact not supported,165,"[164, 164]",True,2024-06-19 12:54:12.229428
"[364, 364, 363]",True,False,Sensor contact not supported,165,"[164, 164, 165]",True,2024-06-19 12:54:13.224853
"[363, 360, 357]",True,False,Sensor contact not supported,165,"[165, 166, 168]",True,2024-06-19 12:54:14.223720
"[359, 360, 362]",True,False,Sensor contact not supported,166,"[167, 166, 165]",True,2024-06-19 12:54:15.224303
"[363, 363]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:54:16.230769
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:54:17.218638
"[361, 363, 363]",True,False,Sensor contact not supported,166,"[166, 165, 165]",True,2024-06-19 12:54:18.213578
"[359, 359, 363]",True,False,Sensor contact not supported,166,"[167, 167, 165]",True,2024-06-19 12:54:19.216525
"[364, 362]",True,False,Sensor contact not supported,166,"[164, 165]",True,2024-06-19 12:54:20.211447
"[358, 358, 362]",True,False,Sensor contact not supported,166,"[167, 167, 165]",True,2024-06-19 12:54:21.207825
"[361, 360, 362]",True,False,Sensor contact not supported,166,"[166, 166, 165]",True,2024-06-19 12:54:23.207738
"[363, 363, 364]",True,False,Sensor contact not supported,166,"[165, 165, 164]",True,2024-06-19 12:54:23.209289
"[359, 358]",True,False,Sensor contact not supported,166,"[167, 167]",True,2024-06-19 12:54:24.201018
"[361, 361, 361]",True,False,Sensor contact not supported,166,"[166, 166, 166]",True,2024-06-19 12:54:25.201522
"[361, 361, 363]",True,False,Sensor contact not supported,166,"[166, 166, 165]",True,2024-06-19 12:54:26.196604
"[364, 364, 362]",True,False,Sensor contact not supported,166,"[164, 164, 165]",True,2024-06-19 12:54:27.196099
"[358, 358, 362]",True,False,Sensor contact not supported,166,"[167, 167, 165]",True,2024-06-19 12:54:28.191559
"[363, 361]",True,False,Sensor contact not supported,166,"[165, 166]",True,2024-06-19 12:54:29.191696
"[363, 364, 364]",True,False,Sensor contact not supported,166,"[165, 164, 164]",True,2024-06-19 12:54:30.184639
"[362, 359, 359]",True,False,Sensor contact not supported,166,"[165, 167, 167]",True,2024-06-19 12:54:31.186998
"[360, 359, 361]",True,False,Sensor contact not supported,166,"[166, 167, 166]",True,2024-06-19 12:54:32.184161
"[363, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:54:33.181764
"[361, 362, 363]",True,False,Sensor contact not supported,166,"[166, 165, 165]",True,2024-06-19 12:54:34.179013
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:54:35.176875
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:54:36.174825
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:54:37.172141
"[362, 363, 364]",True,False,Sensor contact not supported,166,"[165, 165, 164]",True,2024-06-19 12:54:38.169700
"[364, 362, 360]",True,False,Sensor contact not supported,165,"[164, 165, 166]",True,2024-06-19 12:54:39.163672
"[360, 361, 365]",True,False,Sensor contact not supported,166,"[166, 166, 164]",True,2024-06-19 12:54:40.164484
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:54:42.159278
"[367, 363, 362]",True,False,Sensor contact not supported,165,"[163, 165, 165]",True,2024-06-19 12:54:42.160773
"[361, 359, 361]",True,False,Sensor contact not supported,166,"[166, 167, 166]",True,2024-06-19 12:54:43.156774
"[366, 363, 361]",True,False,Sensor contact not supported,165,"[163, 165, 166]",True,2024-06-19 12:54:44.147764
"[362, 362]",True,False,Sensor contact not supported,165,"[165, 165]",True,2024-06-19 12:54:45.146834
"[366, 362, 360]",True,False,Sensor contact not supported,165,"[163, 165, 166]",True,2024-06-19 12:54:46.149223
"[361, 359, 358]",True,False,Sensor contact not supported,166,"[166, 167, 167]",True,2024-06-19 12:54:47.139394
"[361, 363, 362]",True,False,Sensor contact not supported,166,"[166, 165, 165]",True,2024-06-19 12:54:48.140522
"[362, 363, 364]",True,False,Sensor contact not supported,166,"[165, 165, 164]",True,2024-06-19 12:54:49.136317
"[361, 358]",True,False,Sensor contact not supported,166,"[166, 167]",True,2024-06-19 12:54:50.139047
"[359, 359, 358]",True,False,Sensor contact not supported,166,"[167, 167, 167]",True,2024-06-19 12:54:51.136845
"[361, 362, 358]",True,False,Sensor contact not supported,166,"[166, 165, 167]",True,2024-06-19 12:54:52.128707
"[354, 354, 357]",True,False,Sensor contact not supported,167,"[169, 169, 168]",True,2024-06-19 12:54:53.127109
"[359, 360]",True,False,Sensor contact not supported,167,"[167, 166]",True,2024-06-19 12:54:54.126893
"[359, 359, 357]",True,False,Sensor contact not supported,167,"[167, 167, 168]",True,2024-06-19 12:54:55.119929
"[360, 364, 359]",True,False,Sensor contact not supported,167,"[166, 164, 167]",True,2024-06-19 12:54:56.124806
"[356, 361, 362]",True,False,Sensor contact not supported,167,"[168, 166, 165]",True,2024-06-19 12:54:57.117670
"[364, 359, 358]",True,False,Sensor contact not supported,166,"[164, 167, 167]",True,2024-06-19 12:54:58.114999
"[361, 359]",True,False,Sensor contact not supported,167,"[166, 167]",True,2024-06-19 12:54:59.113178
"[357, 357, 357]",True,False,Sensor contact not supported,167,"[168, 168, 168]",True,2024-06-19 12:55:00.114311
"[359, 361, 361]",True,False,Sensor contact not supported,167,"[167, 166, 166]",True,2024-06-19 12:55:01.106966
"[360, 359, 360]",True,False,Sensor contact not supported,167,"[166, 167, 166]",True,2024-06-19 12:55:03.106763
"[362, 361]",True,False,Sensor contact not supported,167,"[165, 166]",True,2024-06-19 12:55:03.109040
