rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
"[453, 450]",True,False,Sensor contact not supported,132,"[132, 133]",True,2024-06-19 12:19:42.909428
"[449, 451]",True,False,Sensor contact not supported,132,"[133, 133]",True,2024-06-19 12:19:43.901545
"[459, 467, 476]",True,False,Sensor contact not supported,132,"[130, 128, 126]",True,2024-06-19 12:19:44.904524
[494],True,False,Sensor contact not supported,131,[121],True,2024-06-19 12:19:46.900154
"[503, 511]",True,False,Sensor contact not supported,128,"[119, 117]",True,2024-06-19 12:19:46.900154
"[524, 536]",True,False,Sensor contact not supported,124,"[114, 111]",True,2024-06-19 12:19:47.892801
"[544, 561]",True,False,Sensor contact not supported,119,"[110, 106]",True,2024-06-19 12:19:48.893599
[579],True,False,Sensor contact not supported,117,[103],True,2024-06-19 12:19:49.888105
"[588, 606]",True,False,Sensor contact not supported,112,"[102, 99]",True,2024-06-19 12:19:50.886106
"[626, 625]",True,False,Sensor contact not supported,107,"[95, 96]",True,2024-06-19 12:19:51.879833
[615],True,False,Sensor contact not supported,105,[97],True,2024-06-19 12:19:52.880575
"[606, 596]",True,False,Sensor contact not supported,102,"[99, 100]",True,2024-06-19 12:19:53.878417
"[588, 587]",True,False,Sensor contact not supported,102,"[102, 102]",True,2024-06-19 12:19:54.875604
[586],True,False,Sensor contact not supported,102,[102],True,2024-06-19 12:19:55.873129
"[593, 630]",True,False,Sensor contact not supported,102,"[101, 95]",True,2024-06-19 12:19:56.874483
[679],True,False,Sensor contact not supported,101,[88],True,2024-06-19 12:19:57.868462
"[669, 642]",True,False,Sensor contact not supported,97,"[89, 93]",True,2024-06-19 12:19:58.864765
[633],True,False,Sensor contact not supported,96,[94],True,2024-06-19 12:19:59.862579
"[634, 644]",True,False,Sensor contact not supported,96,"[94, 93]",True,2024-06-19 12:20:00.864516
[664],True,False,Sensor contact not supported,95,[90],True,2024-06-19 12:20:02.359316
"[701, 698]",True,False,Sensor contact not supported,93,"[85, 85]",True,2024-06-19 12:20:03.356544
[678],True,False,Sensor contact not supported,92,[88],True,2024-06-19 12:20:04.356111
"[675, 664]",True,False,Sensor contact not supported,91,"[88, 90]",True,2024-06-19 12:20:05.347570
[646],True,False,Sensor contact not supported,91,[92],True,2024-06-19 12:20:06.349434
"[637, 631]",True,False,Sensor contact not supported,91,"[94, 95]",True,2024-06-19 12:20:07.341940
[637],True,False,Sensor contact not supported,92,[94],True,2024-06-19 12:20:08.343004
"[655, 668]",True,False,Sensor contact not supported,92,"[91, 89]",True,2024-06-19 12:20:09.338032
[674],True,False,Sensor contact not supported,92,[89],True,2024-06-19 12:20:10.339726
"[690, 705]",True,False,Sensor contact not supported,91,"[86, 85]",True,2024-06-19 12:20:11.332494
[703],True,False,Sensor contact not supported,90,[85],True,2024-06-19 12:20:12.333605
[707],True,False,Sensor contact not supported,89,[84],True,2024-06-19 12:20:13.329160
"[713, 708]",True,False,Sensor contact not supported,88,"[84, 84]",True,2024-06-19 12:20:14.331247
[712],True,False,Sensor contact not supported,88,[84],True,2024-06-19 12:20:15.329248
"[723, 720]",True,False,Sensor contact not supported,87,"[82, 83]",True,2024-06-19 12:20:16.326336
[721],True,False,Sensor contact not supported,86,[83],True,2024-06-19 12:20:17.315857
[723],True,False,Sensor contact not supported,86,[82],True,2024-06-19 12:20:18.315372
"[729, 740]",True,False,Sensor contact not supported,85,"[82, 81]",True,2024-06-19 12:20:19.316648
[739],True,False,Sensor contact not supported,85,[81],True,2024-06-19 12:20:20.315286
[753],True,False,Sensor contact not supported,84,[79],True,2024-06-19 12:20:21.312830
"[763, 760]",True,False,Sensor contact not supported,83,"[78, 78]",True,2024-06-19 12:20:22.307975
[761],True,False,Sensor contact not supported,83,[78],True,2024-06-19 12:20:23.305379
[744],True,False,Sensor contact not supported,82,[80],True,2024-06-19 12:20:24.306059
"[739, 739]",True,False,Sensor contact not supported,82,"[81, 81]",True,2024-06-19 12:20:25.302617
[731],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:20:26.298928
[751],True,False,Sensor contact not supported,82,[79],True,2024-06-19 12:20:27.297663
