hr,rr_interval,timestamp_received,rr,ee_status,sensor_contact,hrv_uint8,rr_hr
107,True,2024-06-20 16:38:50.035385,[631],False,Sensor contact not supported,True,[95]
104,True,2024-06-20 16:38:50.812328,[638],False,Sensor contact not supported,True,[94]
103,True,2024-06-20 16:38:51.588473,[645],False,Sensor contact not supported,True,[93]
103,True,2024-06-20 16:38:52.364460,[673],False,Sensor contact not supported,True,[89]
103,True,2024-06-20 16:38:53.140745,[708],False,Sensor contact not supported,True,[84]
103,True,2024-06-20 16:38:53.917186,"[692, 677]",False,Sensor contact not supported,True,"[86, 88]"
103,True,2024-06-20 16:38:54.693177,[674],False,Sensor contact not supported,True,[89]
101,True,2024-06-20 16:38:55.469658,[659],False,Sensor contact not supported,True,[91]
100,True,2024-06-20 16:38:56.245397,[644],False,Sensor contact not supported,True,[93]
99,True,2024-06-20 16:38:57.021699,[634],False,Sensor contact not supported,True,[94]
98,True,2024-06-20 16:38:57.798211,"[632, 640]",False,Sensor contact not supported,True,"[94, 93]"
98,True,2024-06-20 16:38:58.574455,[660],False,Sensor contact not supported,True,[90]
96,True,2024-06-20 16:38:59.350502,[669],False,Sensor contact not supported,True,[89]
96,True,2024-06-20 16:39:00.127009,[677],False,Sensor contact not supported,True,[88]
94,True,2024-06-20 16:39:00.902715,[695],False,Sensor contact not supported,True,[86]
93,True,2024-06-20 16:39:01.679599,[705],False,Sensor contact not supported,True,[85]
92,True,2024-06-20 16:39:02.455815,[703],False,Sensor contact not supported,True,[85]
91,True,2024-06-20 16:39:03.231487,[709],False,Sensor contact not supported,True,[84]
90,True,2024-06-20 16:39:04.008181,"[712, 708]",False,Sensor contact not supported,True,"[84, 84]"
88,True,2024-06-20 16:39:04.784199,[715],False,Sensor contact not supported,True,[83]
88,True,2024-06-20 16:39:05.561027,[723],False,Sensor contact not supported,True,[82]
87,True,2024-06-20 16:39:06.595632,[720],False,Sensor contact not supported,True,[83]
87,True,2024-06-20 16:39:07.113084,[721],False,Sensor contact not supported,True,[83]
86,True,2024-06-20 16:39:07.890170,[724],False,Sensor contact not supported,True,[82]
86,True,2024-06-20 16:39:08.666015,[733],False,Sensor contact not supported,True,[81]
85,True,2024-06-20 16:39:09.442014,[738],False,Sensor contact not supported,True,[81]
85,True,2024-06-20 16:39:10.218104,[742],False,Sensor contact not supported,True,[80]
84,True,2024-06-20 16:39:10.994826,[757],False,Sensor contact not supported,True,[79]
84,True,2024-06-20 16:39:11.770578,[762],False,Sensor contact not supported,True,[78]
82,True,2024-06-20 16:39:12.546623,[762],False,Sensor contact not supported,True,[78]
82,True,2024-06-20 16:39:13.322721,[756],False,Sensor contact not supported,True,[79]
82,True,2024-06-20 16:39:14.099318,[742],False,Sensor contact not supported,True,[80]
81,True,2024-06-20 16:39:14.875309,[740],False,Sensor contact not supported,True,[81]
81,True,2024-06-20 16:39:15.652316,[736],False,Sensor contact not supported,True,[81]
81,True,2024-06-20 16:39:16.427835,[736],False,Sensor contact not supported,True,[81]
81,True,2024-06-20 16:39:17.204103,[753],False,Sensor contact not supported,True,[79]
81,True,2024-06-20 16:39:17.980698,[770],False,Sensor contact not supported,True,[77]
80,True,2024-06-20 16:39:18.757375,[807],False,Sensor contact not supported,True,[74]
79,True,2024-06-20 16:39:19.533044,[850],False,Sensor contact not supported,True,[70]
77,True,2024-06-20 16:39:20.309216,[855],False,Sensor contact not supported,True,[70]
77,True,2024-06-20 16:39:21.085717,[835],False,Sensor contact not supported,True,[71]
76,True,2024-06-20 16:39:21.861889,[805],False,Sensor contact not supported,True,[74]
76,True,2024-06-20 16:39:22.638733,[787],False,Sensor contact not supported,True,[76]
76,True,2024-06-20 16:39:23.414663,[781],False,Sensor contact not supported,True,[76]
76,True,2024-06-20 16:39:24.190979,[769],False,Sensor contact not supported,True,[78]
77,True,2024-06-20 16:39:24.967179,[777],False,Sensor contact not supported,True,[77]
77,True,2024-06-20 16:39:25.743198,[791],False,Sensor contact not supported,True,[75]
76,True,2024-06-20 16:39:26.519124,[773],False,Sensor contact not supported,True,[77]
76,True,2024-06-20 16:39:27.295868,[750],False,Sensor contact not supported,True,[80]
77,True,2024-06-20 16:39:28.072113,[741],False,Sensor contact not supported,True,[80]
78,True,2024-06-20 16:39:28.847801,[744],False,Sensor contact not supported,True,[80]
78,True,2024-06-20 16:39:29.624146,[750],False,Sensor contact not supported,True,[80]
78,True,2024-06-20 16:39:30.400500,[757],False,Sensor contact not supported,True,[79]
78,True,2024-06-20 16:39:31.176684,[767],False,Sensor contact not supported,True,[78]
78,True,2024-06-20 16:39:31.952889,[751],False,Sensor contact not supported,True,[79]
78,True,2024-06-20 16:39:32.729078,[749],False,Sensor contact not supported,True,[80]
79,True,2024-06-20 16:39:33.505148,[752],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:34.281734,[743],False,Sensor contact not supported,True,[80]
79,True,2024-06-20 16:39:35.316831,[749],False,Sensor contact not supported,True,[80]
79,True,2024-06-20 16:39:35.834171,[745],False,Sensor contact not supported,True,[80]
79,True,2024-06-20 16:39:36.610487,[734],False,Sensor contact not supported,True,[81]
79,True,2024-06-20 16:39:37.387089,[741],False,Sensor contact not supported,True,[80]
80,True,2024-06-20 16:39:38.163782,[738],False,Sensor contact not supported,True,[81]
80,True,2024-06-20 16:39:38.939384,[742],False,Sensor contact not supported,True,[80]
79,True,2024-06-20 16:39:39.715383,[756],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:40.492103,[758],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:41.268326,"[751, 760]",False,Sensor contact not supported,True,"[79, 78]"
79,True,2024-06-20 16:39:42.044849,[751],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:42.821121,[752],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:43.597012,[767],False,Sensor contact not supported,True,[78]
79,True,2024-06-20 16:39:44.373074,[751],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:45.149541,[755],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:45.926048,[769],False,Sensor contact not supported,True,[78]
79,True,2024-06-20 16:39:46.701739,[758],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:47.477745,[761],False,Sensor contact not supported,True,[78]
79,True,2024-06-20 16:39:48.254630,[766],False,Sensor contact not supported,True,[78]
79,True,2024-06-20 16:39:49.030770,[756],False,Sensor contact not supported,True,[79]
79,True,2024-06-20 16:39:49.806562,[775],False,Sensor contact not supported,True,[77]
78,True,2024-06-20 16:39:50.583154,[788],False,Sensor contact not supported,True,[76]
78,True,2024-06-20 16:39:51.359473,[794],False,Sensor contact not supported,True,[75]
78,True,2024-06-20 16:39:52.135227,[790],False,Sensor contact not supported,True,[75]
78,True,2024-06-20 16:39:52.911429,[759],False,Sensor contact not supported,True,[79]
78,True,2024-06-20 16:39:53.688401,[769],False,Sensor contact not supported,True,[78]
78,True,2024-06-20 16:39:54.464585,[752],False,Sensor contact not supported,True,[79]
78,True,2024-06-20 16:39:55.241013,[754],False,Sensor contact not supported,True,[79]
78,True,2024-06-20 16:39:56.017188,[771],False,Sensor contact not supported,True,[77]
78,True,2024-06-20 16:39:56.792917,[771],False,Sensor contact not supported,True,[77]
78,True,2024-06-20 16:39:57.569219,[790],False,Sensor contact not supported,True,[75]
77,True,2024-06-20 16:39:58.345664,[784],False,Sensor contact not supported,True,[76]
77,True,2024-06-20 16:39:59.121368,[774],False,Sensor contact not supported,True,[77]
77,True,2024-06-20 16:39:59.897746,[781],False,Sensor contact not supported,True,[76]
77,True,2024-06-20 16:40:00.674736,[761],False,Sensor contact not supported,True,[78]
77,True,2024-06-20 16:40:01.191749,[755],False,Sensor contact not supported,True,[79]
77,True,2024-06-20 16:40:01.968229,[743],False,Sensor contact not supported,True,[80]
78,True,2024-06-20 16:40:02.744652,[748],False,Sensor contact not supported,True,[80]
78,True,2024-06-20 16:40:03.520305,[755],False,Sensor contact not supported,True,[79]
78,True,2024-06-20 16:40:04.296694,[750],False,Sensor contact not supported,True,[80]
78,True,2024-06-20 16:40:05.331429,[761],False,Sensor contact not supported,True,[78]
78,True,2024-06-20 16:40:05.849025,[767],False,Sensor contact not supported,True,[78]
78,True,2024-06-20 16:40:06.625353,[739],False,Sensor contact not supported,True,[81]
