ee_status,timestamp_received,rr_interval,sensor_contact,rr,hrv_uint8,hr,rr_hr
False,2024-08-12 12:51:48.308213,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:49.298566,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:51:50.347761,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:51.308194,True,Contact detected,"[322, 326]",True,180,"[186, 184]"
False,2024-08-12 12:51:52.297549,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:51:53.317822,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:54.308175,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:55.298528,True,Contact detected,"[326, 326, 322, 326]",True,180,"[184, 184, 186, 184]"
False,2024-08-12 12:51:56.317803,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:51:57.308156,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:58.298508,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:59.317784,True,Contact detected,"[326, 322]",True,180,"[184, 186]"
False,2024-08-12 12:52:00.308137,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:01.298489,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:02.317765,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:03.308152,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:04.298471,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:52:05.317747,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:06.308099,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:07.298452,True,Contact detected,"[326, 326, 326, 322]",True,180,"[184, 184, 184, 186]"
False,2024-08-12 12:52:08.317727,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:09.308080,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:10.328352,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:11.317708,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:12.308060,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:52:13.298413,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:14.317688,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:15.308041,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:16.299395,True,Contact detected,"[322, 326]",True,180,"[186, 184]"
False,2024-08-12 12:52:17.318997,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:18.308599,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:19.298162,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:20.318432,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:52:21.308103,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:22.297769,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:23.348400,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:24.307834,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:52:25.298189,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:26.318461,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:27.307817,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:28.298168,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:29.318442,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:52:30.307796,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:31.298151,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:32.318422,True,Contact detected,"[326, 326, 326, 322]",True,180,"[184, 184, 184, 186]"
False,2024-08-12 12:52:33.307777,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:34.298132,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:35.318403,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:36.307759,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:37.298111,True,Contact detected,"[326, 322, 326, 326]",True,180,"[184, 186, 184, 184]"
False,2024-08-12 12:52:38.318384,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:39.307740,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:40.298094,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:41.318367,True,Contact detected,"[326, 322]",True,180,"[184, 186]"
False,2024-08-12 12:52:42.308064,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:43.298616,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:44.317771,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:45.308617,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:46.298656,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:52:47.318628,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:48.308614,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:49.298661,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:52:50.318620,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:51.308629,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:52:52.298618,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:52:53.564734,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:52:54.308625,True,Contact detected,"[326, 322]",True,180,"[184, 186]"
False,2024-08-12 12:52:55.298620,False,Contact detected,,True,180,
