sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[179],179,2024-06-19 15:23:33.866204,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:34.195883,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:34.525762,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:34.870452,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:35.200702,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:35.530684,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:35.860392,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:36.190589,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:36.535920,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:36.866155,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:37.240465,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:37.525303,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:37.870770,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:38.200780,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:38.531028,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:38.860507,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:39.205765,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:39.536122,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:39.865759,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:40.240911,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:40.525937,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:40.870669,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:41.200563,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:41.530600,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:41.860735,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:42.190934,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:42.535875,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:42.865449,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:43.196548,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:43.525320,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:43.870810,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:44.201170,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:44.530329,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:44.860443,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:45.190694,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:45.535630,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:45.866181,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:46.195555,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:46.525516,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:46.885788,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:47.245944,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:47.531387,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:47.860361,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:48.235870,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:48.535510,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:48.865722,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:49.195948,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:49.525480,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:49.870623,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:50.200918,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:50.531138,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:50.861228,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:51.236187,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:51.536122,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:51.866123,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:52.196575,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:52.525543,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:52.871134,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:53.201178,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:53.530454,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:53.860639,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:54.235586,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:54.535877,[334],True,True,False
Sensor contact not supported,[179],179,2024-06-19 15:23:54.865389,[334],True,True,False
Sensor contact not supported,[183],180,2024-06-19 15:23:55.195682,[327],True,True,False
Sensor contact not supported,[179],180,2024-06-19 15:23:55.525843,[334],True,True,False
