timestamp_received,rr,rr_interval,hr,ee_status,rr_hr,hrv_uint8,sensor_contact
2024-06-20 09:32:59.112130,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:32:59.472037,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:32:59.831750,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:00.147076,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:00.521488,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:00.926561,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:01.286687,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:01.646633,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:02.007394,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:02.321641,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:02.697443,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:03.101547,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:03.417280,[358],True,165,False,[167],True,Sensor contact not supported
2024-06-20 09:33:03.821603,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:04.181951,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:04.541663,[358],True,165,False,[167],True,Sensor contact not supported
2024-06-20 09:33:04.902338,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:05.262273,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:05.622405,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:05.952203,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:06.356656,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:06.716978,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:07.076634,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:07.436889,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:07.796771,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:08.127075,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:08.531724,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:08.847478,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:09.251546,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:09.612117,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:09.971706,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:10.331528,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:10.692115,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:11.006786,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:11.381931,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:11.787442,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:12.147275,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:12.507269,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:12.866910,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:13.196744,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:13.602242,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:13.916842,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:14.322150,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:14.681537,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:15.042478,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:15.401673,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:15.762320,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:16.077391,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:16.451619,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:16.856814,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:17.217310,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:17.577297,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:17.937302,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:18.296784,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:18.627157,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:19.032147,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:19.346901,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:19.752151,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:20.112282,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:20.471929,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:20.786788,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:21.192222,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:21.551684,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:21.882376,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:22.241726,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:22.647088,[350],True,166,False,[171],True,Sensor contact not supported
2024-06-20 09:33:23.007096,[358],True,167,False,[167],True,Sensor contact not supported
2024-06-20 09:33:23.367549,[366],True,165,False,[163],True,Sensor contact not supported
2024-06-20 09:33:23.727122,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:24.086511,[358],True,166,False,[167],True,Sensor contact not supported
2024-06-20 09:33:24.447325,[366],True,165,False,[163],True,Sensor contact not supported
