timestamp_received,hr,sensor_contact,rr,ee_status,rr_interval,rr_hr,hrv_uint8
2024-07-11 16:13:07.401877,80,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:13:08.181477,78,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:13:09.021790,77,Sensor contact not supported,[850],False,True,[70],True
2024-07-11 16:13:09.922052,75,Sensor contact not supported,[850],False,True,[70],True
2024-07-11 16:13:10.776060,74,Sensor contact not supported,[850],False,True,[70],True
2024-07-11 16:13:11.555957,73,Sensor contact not supported,[827],False,True,[72],True
2024-07-11 16:13:12.351115,74,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:13:13.132150,74,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:13.956618,75,Sensor contact not supported,[764],False,True,[78],True
2024-07-11 16:13:14.676700,77,Sensor contact not supported,[741],False,True,[80],True
2024-07-11 16:13:15.366588,78,Sensor contact not supported,[725],False,True,[82],True
2024-07-11 16:13:16.132145,80,Sensor contact not supported,[717],False,True,[83],True
2024-07-11 16:13:16.836487,80,Sensor contact not supported,[750],False,True,[80],True
2024-07-11 16:13:17.662112,78,Sensor contact not supported,[819],False,True,[73],True
2024-07-11 16:13:18.562035,77,Sensor contact not supported,[850],False,True,[70],True
2024-07-11 16:13:19.386680,74,Sensor contact not supported,[866],False,True,[69],True
2024-07-11 16:13:20.286319,73,Sensor contact not supported,[858],False,True,[69],True
2024-07-11 16:13:21.142059,72,Sensor contact not supported,[842],False,True,[71],True
2024-07-11 16:13:21.921740,72,Sensor contact not supported,[842],False,True,[71],True
2024-07-11 16:13:22.762047,72,Sensor contact not supported,[827],False,True,[72],True
2024-07-11 16:13:23.617099,72,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:13:24.381710,73,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:25.162120,74,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:25.941748,75,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:26.722113,75,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:27.502103,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:28.356669,75,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:13:29.167100,75,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:29.977776,74,Sensor contact not supported,[811],False,True,[73],True
2024-07-11 16:13:30.787128,74,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:31.596673,74,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:32.332091,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:33.112009,75,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:33.936557,76,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:13:34.672093,76,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:35.496466,75,Sensor contact not supported,[819],False,True,[73],True
2024-07-11 16:13:36.381446,74,Sensor contact not supported,[889],False,True,[67],True
2024-07-11 16:13:37.325957,72,Sensor contact not supported,[897],False,True,[66],True
2024-07-11 16:13:38.152129,71,Sensor contact not supported,[875],False,True,[68],True
2024-07-11 16:13:39.036673,70,Sensor contact not supported,[866],False,True,[69],True
2024-07-11 16:13:39.936131,70,Sensor contact not supported,[866],False,True,[69],True
2024-07-11 16:13:40.792110,70,Sensor contact not supported,[850],False,True,[70],True
2024-07-11 16:13:41.586786,70,Sensor contact not supported,[842],False,True,[71],True
2024-07-11 16:13:42.441781,71,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:43.176601,73,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:43.986930,74,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:13:44.722135,75,Sensor contact not supported,[772],False,True,[77],True
2024-07-11 16:13:45.502138,75,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:46.296587,75,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:13:47.151783,75,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:47.901817,75,Sensor contact not supported,[795],False,True,[75],True
2024-07-11 16:13:48.756700,75,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:49.566279,75,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:50.316486,74,Sensor contact not supported,[803],False,True,[74],True
2024-07-11 16:13:51.111828,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:51.891804,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:52.686693,75,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:53.466585,76,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:54.262112,76,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:55.041612,76,Sensor contact not supported,[788],False,True,[76],True
2024-07-11 16:13:55.821744,76,Sensor contact not supported,[780],False,True,[76],True
2024-07-11 16:13:56.716669,76,Sensor contact not supported,[772],False,True,[77],True
