hr,rr_hr,timestamp_received,ee_status,hrv_uint8,sensor_contact,rr_interval,rr
120,[60],2024-07-11 16:36:49.234723,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:50.284215,False,True,Sensor contact not supported,True,[1000]
120,[60],2024-07-11 16:36:51.244881,False,True,Sensor contact not supported,True,[1000]
114,[60],2024-07-11 16:36:52.234912,False,True,Sensor contact not supported,True,[1000]
107,[60],2024-07-11 16:36:53.285098,False,True,Sensor contact not supported,True,[1000]
99,[60],2024-07-11 16:36:54.245318,False,True,Sensor contact not supported,True,[1000]
91,[60],2024-07-11 16:36:55.279678,False,True,Sensor contact not supported,True,[1000]
85,[60],2024-07-11 16:36:56.240828,False,True,Sensor contact not supported,True,[1000]
79,[60],2024-07-11 16:36:57.289808,False,True,Sensor contact not supported,True,[1000]
75,[60],2024-07-11 16:36:58.235485,False,True,Sensor contact not supported,True,[1000]
70,[60],2024-07-11 16:36:59.270135,False,True,Sensor contact not supported,True,[1000]
67,[60],2024-07-11 16:37:00.244960,False,True,Sensor contact not supported,True,[1000]
65,[60],2024-07-11 16:37:01.234506,False,True,Sensor contact not supported,True,[1000]
63,[60],2024-07-11 16:37:02.269672,False,True,Sensor contact not supported,True,[1000]
62,[60],2024-07-11 16:37:03.274610,False,True,Sensor contact not supported,True,[1000]
61,[60],2024-07-11 16:37:04.234368,False,True,Sensor contact not supported,True,[1000]
61,[60],2024-07-11 16:37:05.269578,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:06.229981,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:07.235150,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:08.284535,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:09.275213,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:10.249337,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:11.224602,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:12.230046,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:13.280202,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:14.284288,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:15.229639,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:16.234519,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:17.269719,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:18.274946,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:19.279457,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:20.269630,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:21.229593,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:22.235082,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:23.225011,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:24.230121,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:25.235214,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:26.269937,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:27.229569,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:28.279977,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:29.270041,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:30.229991,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:31.279940,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:32.285203,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:33.274597,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:34.234400,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:35.269302,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:36.230195,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:37.235729,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:38.269947,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:39.229318,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:40.234495,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:41.269693,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:42.229811,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:43.234334,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:44.269392,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:45.229414,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:46.234882,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:47.269935,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:48.230100,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:49.234907,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:50.269437,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:51.274989,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:52.234889,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:53.224644,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:54.230134,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:55.235448,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:56.270580,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:57.275641,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:58.235552,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:37:59.270666,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:00.230655,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:01.235788,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:02.270664,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:03.229735,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:04.234858,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:05.240148,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:06.229660,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:07.234733,False,True,Sensor contact not supported,True,[1000]
60,[60],2024-07-11 16:38:08.270637,False,True,Sensor contact not supported,True,[1000]
