rr,rr_interval,timestamp_received,hr,hrv_uint8,sensor_contact,ee_status,rr_hr
[1000],True,2024-06-19 14:59:04.975315,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:05.934831,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:06.969592,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:07.975163,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:08.934845,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:09.970236,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:10.930442,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:11.934845,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:12.969751,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:13.930055,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:14.935478,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:15.969802,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:16.929841,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:17.935189,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:18.969838,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:19.974799,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:20.979798,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:21.940479,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:22.929912,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:23.935277,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:24.969891,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:25.930328,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:26.934954,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:27.970194,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:28.930322,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:29.935393,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:30.970248,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:31.930011,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:32.934878,120,True,Sensor contact not supported,False,[60]
[1000],True,2024-06-19 14:59:33.970195,120,True,Sensor contact not supported,False,[60]
