sensor_contact,timestamp_received,rr,hr,rr_hr,hrv_uint8,rr_interval,ee_status
Sensor contact not supported,2024-06-19 10:34:28.381132,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:29.375633,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:30.375562,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:31.377374,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:32.373739,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:33.372167,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:34.369969,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:35.366715,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:36.364324,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:37.355075,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:38.355467,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:39.351917,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:40.347818,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:41.352146,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:42.349328,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:43.346727,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:44.337500,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:45.341624,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:46.339210,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:47.337243,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:48.333784,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:49.328519,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:50.329369,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:51.326909,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:52.317677,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:53.317214,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:54.315881,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:55.309514,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:56.310230,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:57.305595,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:58.303214,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:34:59.307347,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:00.303759,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:01.296052,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:02.299072,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:03.296879,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:04.294033,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:05.291832,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:06.282702,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:07.283487,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:08.282045,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:09.281818,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:10.279949,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:11.276557,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:12.274342,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:13.272521,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:14.262402,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:16.263884,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:16.265688,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:17.261588,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:18.255695,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:19.251999,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:20.254178,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:21.251224,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:22.249570,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:23.246656,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:25.241924,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:25.244093,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:26.239817,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:27.232645,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:28.234553,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:29.225359,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:30.229325,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:31.225202,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:32.217065,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:33.219303,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:34.218731,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:35.216327,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:36.208370,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:37.208538,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:38.208671,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:39.207050,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:40.204813,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:41.199055,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:42.200831,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:43.196207,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:45.193547,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:45.197535,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:46.186747,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:47.188541,"[333, 333, 333]",180,"[180, 180, 180]",True,True,False
Sensor contact not supported,2024-06-19 10:35:48.186654,[333],180,[180],True,True,False
Sensor contact not supported,2024-06-19 10:35:49.183741,,180,,True,False,False
