rr_interval,ee_status,hr,hrv_uint8,rr,rr_hr,timestamp_received,sensor_contact
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:17.759553,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:18.779830,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:19:19.770141,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:20.759550,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:21.779808,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:22.770120,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:23.759521,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:24.780037,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:19:25.799312,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:26.789665,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:27.780018,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:28.769373,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:29.759726,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:30.779999,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:19:31.769356,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:32.759707,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:33.779980,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:34.769590,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:35.759946,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:36.780259,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:19:37.769573,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:38.759951,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:39.780241,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:40.770335,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:41.761013,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:42.780119,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:19:43.770541,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:44.759904,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:45.780295,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:46.770546,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:47.760114,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:48.780579,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:19:49.770553,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:50.760557,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:19:52.009923,Contact detected
True,False,120,True,[488],[122],2024-08-13 10:19:52.770550,Contact detected
False,False,120,True,,,2024-08-13 10:19:53.760560,Contact detected
