ee_status,hrv_uint8,sensor_contact,hr,rr_hr,rr_interval,rr,timestamp_received
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:33.502603
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:34.521878
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:35.512233
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:36.502584
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:37.521859
False,True,Contact detected,60,"[61, 61, 88]",True,"[977, 977, 681]",2024-08-13 14:23:38.512212
False,True,Contact detected,60,[122],True,[488],2024-08-13 14:23:39.502565
False,True,Contact detected,60,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:23:40.521840
False,True,Contact detected,60,"[122, 122]",True,"[488, 488]",2024-08-13 14:23:41.512193
False,True,Contact detected,60,[122],True,[488],2024-08-13 14:23:42.502546
False,True,Contact detected,72,"[122, 123, 122]",True,"[488, 485, 488]",2024-08-13 14:23:43.521821
False,True,Contact detected,88,"[122, 122]",True,"[488, 488]",2024-08-13 14:23:44.512174
False,True,Contact detected,98,[122],True,[488],2024-08-13 14:23:45.502527
False,True,Contact detected,117,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:23:46.521802
False,True,Contact detected,119,[122],True,[488],2024-08-13 14:23:47.512156
False,True,Contact detected,120,"[123, 122]",True,"[485, 488]",2024-08-13 14:23:48.502509
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:23:49.491863
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:23:50.512137
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:23:51.502491
False,True,Contact detected,120,"[122, 123, 122]",True,"[488, 485, 488]",2024-08-13 14:23:52.491844
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:23:53.512117
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:23:54.502470
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:23:55.491825
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:23:56.512100
False,True,Contact detected,120,"[123, 122, 122]",True,"[485, 488, 488]",2024-08-13 14:23:57.502453
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:23:58.491806
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:23:59.512079
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:00.502432
False,True,Contact detected,120,[123],True,[485],2024-08-13 14:24:01.491788
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:02.512060
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:03.502413
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:04.491768
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:05.512041
False,True,Contact detected,120,"[123, 122, 122]",True,"[485, 488, 488]",2024-08-13 14:24:06.502395
False,True,Contact detected,120,[122],True,[488],2024-08-13 14:24:07.491749
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:08.512022
False,True,Contact detected,120,"[122, 122]",True,"[488, 488]",2024-08-13 14:24:09.502374
False,True,Contact detected,120,[123],True,[485],2024-08-13 14:24:10.521650
False,True,Contact detected,120,"[122, 122, 122]",True,"[488, 488, 488]",2024-08-13 14:24:11.512004
