hrv_uint8,timestamp_received,ee_status,sensor_contact,hr,rr,rr_hr,rr_interval
True,2024-07-11 15:46:24.619641,False,Sensor contact not supported,138,[436],[137],True
True,2024-07-11 15:46:25.114367,False,Sensor contact not supported,137,[444],[135],True
True,2024-07-11 15:46:25.534595,False,Sensor contact not supported,135,[452],[132],True
True,2024-07-11 15:46:25.969621,False,Sensor contact not supported,134,[452],[132],True
True,2024-07-11 15:46:26.465063,False,Sensor contact not supported,133,[459],[130],True
True,2024-07-11 15:46:26.884556,False,Sensor contact not supported,132,[459],[130],True
True,2024-07-11 15:46:27.350121,False,Sensor contact not supported,131,[459],[130],True
True,2024-07-11 15:46:27.829432,False,Sensor contact not supported,130,[475],[126],True
True,2024-07-11 15:46:28.294773,False,Sensor contact not supported,129,[475],[126],True
True,2024-07-11 15:46:28.775068,False,Sensor contact not supported,128,[475],[126],True
True,2024-07-11 15:46:29.269604,False,Sensor contact not supported,126,[483],[124],True
True,2024-07-11 15:46:29.764659,False,Sensor contact not supported,125,[491],[122],True
True,2024-07-11 15:46:30.244899,False,Sensor contact not supported,124,[491],[122],True
True,2024-07-11 15:46:30.784634,False,Sensor contact not supported,123,[500],[120],True
True,2024-07-11 15:46:31.249337,False,Sensor contact not supported,121,[506],[118],True
True,2024-07-11 15:46:31.760019,False,Sensor contact not supported,121,[500],[120],True
True,2024-07-11 15:46:32.269827,False,Sensor contact not supported,120,[506],[118],True
True,2024-07-11 15:46:32.749993,False,Sensor contact not supported,120,[491],[122],True
True,2024-07-11 15:46:33.259889,False,Sensor contact not supported,121,[491],[122],True
True,2024-07-11 15:46:33.739971,False,Sensor contact not supported,121,[491],[122],True
True,2024-07-11 15:46:34.219795,False,Sensor contact not supported,122,[483],[124],True
True,2024-07-11 15:46:34.760005,False,Sensor contact not supported,122,[483],[124],True
True,2024-07-11 15:46:35.180565,False,Sensor contact not supported,123,[475],[126],True
True,2024-07-11 15:46:35.644869,False,Sensor contact not supported,125,[467],[128],True
True,2024-07-11 15:46:36.124706,False,Sensor contact not supported,125,[475],[126],True
True,2024-07-11 15:46:36.604979,False,Sensor contact not supported,126,[459],[130],True
True,2024-07-11 15:46:37.099588,False,Sensor contact not supported,127,[467],[128],True
True,2024-07-11 15:46:37.519316,False,Sensor contact not supported,128,[459],[130],True
True,2024-07-11 15:46:37.999818,False,Sensor contact not supported,128,[459],[130],True
True,2024-07-11 15:46:38.449988,False,Sensor contact not supported,130,[452],[132],True
True,2024-07-11 15:46:38.945166,False,Sensor contact not supported,130,[459],[130],True
True,2024-07-11 15:46:39.394918,False,Sensor contact not supported,131,[444],[135],True
True,2024-07-11 15:46:39.845240,False,Sensor contact not supported,131,[452],[132],True
True,2024-07-11 15:46:40.294542,False,Sensor contact not supported,132,[444],[135],True
True,2024-07-11 15:46:40.700037,False,Sensor contact not supported,133,[444],[135],True
True,2024-07-11 15:46:41.134402,False,Sensor contact not supported,133,[444],[135],True
True,2024-07-11 15:46:41.569448,False,Sensor contact not supported,134,[444],[135],True
True,2024-07-11 15:46:42.065006,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:46:42.454518,False,Sensor contact not supported,135,[436],[137],True
True,2024-07-11 15:46:42.889357,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:46:43.324509,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:46:43.759583,False,Sensor contact not supported,136,[436],[137],True
True,2024-07-11 15:46:44.194987,False,Sensor contact not supported,137,[428],[140],True
True,2024-07-11 15:46:44.630128,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:46:45.065132,False,Sensor contact not supported,138,[428],[140],True
True,2024-07-11 15:46:45.485160,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:46:45.904557,False,Sensor contact not supported,139,[428],[140],True
True,2024-07-11 15:46:46.339680,False,Sensor contact not supported,140,[420],[142],True
True,2024-07-11 15:46:46.759597,False,Sensor contact not supported,140,[428],[140],True
True,2024-07-11 15:46:47.194825,False,Sensor contact not supported,140,[420],[142],True
True,2024-07-11 15:46:47.615138,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:46:48.034991,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:46:48.454925,False,Sensor contact not supported,141,[420],[142],True
True,2024-07-11 15:46:48.875026,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:46:49.339549,False,Sensor contact not supported,142,[413],[145],True
True,2024-07-11 15:46:49.744988,False,Sensor contact not supported,142,[420],[142],True
True,2024-07-11 15:46:50.135032,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:46:50.585127,False,Sensor contact not supported,143,[413],[145],True
True,2024-07-11 15:46:50.959581,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:51.410201,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:51.784834,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:52.204607,False,Sensor contact not supported,144,[413],[145],True
True,2024-07-11 15:46:52.624596,False,Sensor contact not supported,144,[420],[142],True
True,2024-07-11 15:46:53.074938,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:46:53.449553,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:46:53.884329,False,Sensor contact not supported,143,[420],[142],True
True,2024-07-11 15:46:54.319549,False,Sensor contact not supported,142,[428],[140],True
True,2024-07-11 15:46:54.739308,False,Sensor contact not supported,140,[436],[137],True
True,2024-07-11 15:46:55.189482,False,Sensor contact not supported,139,[436],[137],True
True,2024-07-11 15:46:55.624752,False,Sensor contact not supported,139,[436],[137],True
True,2024-07-11 15:46:56.074816,False,Sensor contact not supported,137,[444],[135],True
True,2024-07-11 15:46:56.569508,False,Sensor contact not supported,136,[444],[135],True
True,2024-07-11 15:46:57.019338,False,Sensor contact not supported,135,[452],[132],True
True,2024-07-11 15:46:57.469444,False,Sensor contact not supported,134,[459],[130],True
