rr_interval,timestamp_received,rr,sensor_contact,rr_hr,hr,hrv_uint8,ee_status
True,2024-06-20 08:47:18.148004,[405],Sensor contact not supported,[148],145,True,False
True,2024-06-20 08:47:18.598232,[420],Sensor contact not supported,[142],144,True,False
True,2024-06-20 08:47:18.973519,[413],Sensor contact not supported,[145],144,True,False
True,2024-06-20 08:47:19.393296,[420],Sensor contact not supported,[142],144,True,False
True,2024-06-20 08:47:19.828585,[428],Sensor contact not supported,[140],142,True,False
True,2024-06-20 08:47:20.248489,[420],Sensor contact not supported,[142],142,True,False
True,2024-06-20 08:47:20.683202,[436],Sensor contact not supported,[137],141,True,False
True,2024-06-20 08:47:21.118176,[436],Sensor contact not supported,[137],140,True,False
True,2024-06-20 08:47:21.552943,[436],Sensor contact not supported,[137],139,True,False
True,2024-06-20 08:47:22.047794,[436],Sensor contact not supported,[137],138,True,False
True,2024-06-20 08:47:22.497743,[452],Sensor contact not supported,[132],136,True,False
True,2024-06-20 08:47:22.947777,[444],Sensor contact not supported,[135],136,True,False
True,2024-06-20 08:47:23.353311,[459],Sensor contact not supported,[130],134,True,False
True,2024-06-20 08:47:23.818116,[452],Sensor contact not supported,[132],133,True,False
True,2024-06-20 08:47:24.314128,[467],Sensor contact not supported,[128],132,True,False
True,2024-06-20 08:47:24.748192,[459],Sensor contact not supported,[130],131,True,False
True,2024-06-20 08:47:25.213466,[475],Sensor contact not supported,[126],130,True,False
True,2024-06-20 08:47:25.692814,[475],Sensor contact not supported,[126],128,True,False
True,2024-06-20 08:47:26.173442,[475],Sensor contact not supported,[126],128,True,False
True,2024-06-20 08:47:26.653469,[483],Sensor contact not supported,[124],126,True,False
True,2024-06-20 08:47:27.193375,[491],Sensor contact not supported,[122],125,True,False
True,2024-06-20 08:47:27.688004,[500],Sensor contact not supported,[120],123,True,False
True,2024-06-20 08:47:28.138574,[491],Sensor contact not supported,[122],123,True,False
True,2024-06-20 08:47:28.647844,[506],Sensor contact not supported,[118],121,True,False
True,2024-06-20 08:47:29.188252,[506],Sensor contact not supported,[118],120,True,False
True,2024-06-20 08:47:29.653319,[500],Sensor contact not supported,[120],120,True,False
