hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 18:13:38.150528,[83],[719],Contact detected,True,80
True,False,2024-08-12 18:13:39.140881,[82],[723],Contact detected,True,80
True,False,2024-08-12 18:13:40.161155,"[83, 81]","[719, 735]",Contact detected,True,81
True,False,2024-08-12 18:13:41.150509,[81],[739],Contact detected,True,81
True,False,2024-08-12 18:13:42.140862,[81],[739],Contact detected,True,81
True,False,2024-08-12 18:13:43.161135,"[81, 81]","[739, 739]",Contact detected,True,80
True,False,2024-08-12 18:13:44.180410,[82],[731],Contact detected,True,80
True,False,2024-08-12 18:13:45.170763,[80],[746],Contact detected,True,80
True,False,2024-08-12 18:13:46.161115,[81],[739],Contact detected,True,80
True,False,2024-08-12 18:13:47.150471,"[81, 80]","[739, 742]",Contact detected,True,79
True,False,2024-08-12 18:13:48.140824,[80],[746],Contact detected,True,79
True,False,2024-08-12 18:13:49.161096,[80],[742],Contact detected,True,79
True,False,2024-08-12 18:13:50.150452,"[80, 80]","[746, 746]",Contact detected,True,79
True,False,2024-08-12 18:13:51.140805,[80],[746],Contact detected,True,79
True,False,2024-08-12 18:13:52.161077,[78],[765],Contact detected,True,79
True,False,2024-08-12 18:13:53.150433,[77],[773],Contact detected,True,79
True,False,2024-08-12 18:13:54.140787,"[77, 79]","[773, 757]",Contact detected,True,78
True,False,2024-08-12 18:13:55.161059,[80],[746],Contact detected,True,78
True,False,2024-08-12 18:13:56.150414,[80],[742],Contact detected,True,78
True,False,2024-08-12 18:13:57.140766,"[81, 80]","[735, 746]",Contact detected,True,78
True,False,2024-08-12 18:13:58.161039,[79],[753],Contact detected,True,78
True,False,2024-08-12 18:13:59.150395,[79],[757],Contact detected,True,78
True,False,2024-08-12 18:14:00.140749,"[77, 78]","[773, 761]",Contact detected,True,78
True,False,2024-08-12 18:14:01.161020,[79],[757],Contact detected,True,78
True,False,2024-08-12 18:14:02.150375,[79],[753],Contact detected,True,78
True,False,2024-08-12 18:14:03.140730,"[81, 81]","[739, 735]",Contact detected,True,78
True,False,2024-08-12 18:14:04.161002,[82],[727],Contact detected,True,78
True,False,2024-08-12 18:14:05.180277,[82],[731],Contact detected,True,78
True,False,2024-08-12 18:14:06.140709,"[81, 81]","[739, 735]",Contact detected,True,79
True,False,2024-08-12 18:14:07.160983,[80],[746],Contact detected,True,79
True,False,2024-08-12 18:14:08.150338,[80],[742],Contact detected,True,79
True,False,2024-08-12 18:14:09.140690,"[84, 85]","[711, 705]",Contact detected,True,80
True,False,2024-08-12 18:14:10.160963,[86],[693],Contact detected,True,80
True,False,2024-08-12 18:14:11.151316,"[86, 88]","[693, 681]",Contact detected,True,81
True,False,2024-08-12 18:14:12.140673,[90],[663],Contact detected,True,82
True,False,2024-08-12 18:14:13.160944,[91],[659],Contact detected,True,82
True,False,2024-08-12 18:14:14.151297,"[85, 77]","[705, 773]",Contact detected,True,84
True,False,2024-08-12 18:14:15.140652,[79],[753],Contact detected,True,84
True,False,2024-08-12 18:14:16.160925,[83],[719],Contact detected,True,84
True,False,2024-08-12 18:14:17.181198,"[82, 81]","[727, 735]",Contact detected,True,83
True,False,2024-08-12 18:14:18.170553,[84],[711],Contact detected,True,82
True,False,2024-08-12 18:14:19.160907,"[86, 87]","[697, 685]",Contact detected,True,81
True,False,2024-08-12 18:14:20.150262,[88],[678],Contact detected,True,81
True,False,2024-08-12 18:14:21.140614,[90],[666],Contact detected,True,82
True,False,2024-08-12 18:14:22.160887,"[89, 87]","[670, 689]",Contact detected,True,83
True,False,2024-08-12 18:14:23.151242,[88],[678],Contact detected,True,84
True,False,2024-08-12 18:14:24.140595,"[89, 91]","[674, 659]",Contact detected,True,86
True,False,2024-08-12 18:14:25.160869,[89],[670],Contact detected,True,86
True,False,2024-08-12 18:14:26.151221,"[90, 90]","[666, 663]",Contact detected,True,87
True,False,2024-08-12 18:14:27.140577,[89],[674],Contact detected,True,87
True,False,2024-08-12 18:14:28.190769,"[88, 89]","[681, 674]",Contact detected,True,87
True,False,2024-08-12 18:14:29.151202,[90],[663],Contact detected,True,87
True,False,2024-08-12 18:14:30.170477,"[89, 87]","[670, 689]",Contact detected,True,87
True,False,2024-08-12 18:14:31.160830,[86],[697],Contact detected,True,87
True,False,2024-08-12 18:14:32.151183,[85],[705],Contact detected,True,87
True,False,2024-08-12 18:14:33.140538,[82],[731],Contact detected,True,86
True,False,2024-08-12 18:14:34.160811,"[79, 78]","[753, 761]",Contact detected,True,85
True,False,2024-08-12 18:14:35.151164,[79],[753],Contact detected,True,84
True,False,2024-08-12 18:14:36.140522,[79],[753],Contact detected,True,83
True,False,2024-08-12 18:14:37.160792,"[80, 81]","[742, 735]",Contact detected,True,80
True,False,2024-08-12 18:14:38.151145,[81],[735],Contact detected,True,80
True,False,2024-08-12 18:14:39.140501,[81],[735],Contact detected,True,79
True,False,2024-08-12 18:14:40.161770,"[84, 83]","[711, 715]",Contact detected,True,79
True,False,2024-08-12 18:14:41.151126,[82],[731],Contact detected,True,79
True,False,2024-08-12 18:14:42.140481,[81],[739],Contact detected,True,80
True,False,2024-08-12 18:14:43.160754,[82],[731],Contact detected,True,80
True,False,2024-08-12 18:14:44.151107,"[79, 75]","[753, 791]",Contact detected,True,80
True,False,2024-08-12 18:14:45.140462,[75],[791],Contact detected,True,80
True,False,2024-08-12 18:14:46.160735,[75],[791],Contact detected,True,79
True,False,2024-08-12 18:14:47.151088,"[75, 77]","[795, 773]",Contact detected,True,78
True,False,2024-08-12 18:14:48.140443,[79],[753],Contact detected,True,77
True,False,2024-08-12 18:14:49.160716,[80],[746],Contact detected,True,76
True,False,2024-08-12 18:14:50.180989,"[82, 84]","[727, 711]",Contact detected,True,76
True,False,2024-08-12 18:14:51.170344,[83],[715],Contact detected,True,76
True,False,2024-08-12 18:14:52.160698,[82],[723],Contact detected,True,77
True,False,2024-08-12 18:14:53.151050,"[82, 80]","[723, 742]",Contact detected,True,79
True,False,2024-08-12 18:14:54.140510,[80],[742],Contact detected,True,80
True,False,2024-08-12 18:14:55.160782,[82],[731],Contact detected,True,80
True,False,2024-08-12 18:14:56.151135,"[83, 83]","[719, 715]",Contact detected,True,80
True,False,2024-08-12 18:14:57.140491,[84],[708],Contact detected,True,81
True,False,2024-08-12 18:14:58.130843,[84],[708],Contact detected,True,81
True,False,2024-08-12 18:14:59.151116,"[83, 80]","[719, 746]",Contact detected,True,81
True,False,2024-08-12 18:15:00.140472,[80],[746],Contact detected,True,81
True,False,2024-08-12 18:15:01.130824,"[82, 84]","[723, 708]",Contact detected,True,81
True,False,2024-08-12 18:15:02.151097,[84],[711],Contact detected,True,81
True,False,2024-08-12 18:15:03.140452,[83],[719],Contact detected,True,81
True,False,2024-08-12 18:15:04.130805,"[84, 86]","[708, 693]",Contact detected,True,81
True,False,2024-08-12 18:15:05.151078,[88],[678],Contact detected,True,81
True,False,2024-08-12 18:15:06.140433,"[90, 92]","[663, 651]",Contact detected,True,83
True,False,2024-08-12 18:15:07.130968,[91],[655],Contact detected,True,84
True,False,2024-08-12 18:15:08.150243,[91],[659],Contact detected,True,85
