ee_status,hr,timestamp_received,rr_hr,rr_interval,sensor_contact,rr,hrv_uint8
False,62,2024-06-18 08:52:22.607595,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:23.598931,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:24.596611,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:25.599207,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:26.592685,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:27.594566,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:28.584991,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:29.582203,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:30.580304,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:31.584923,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:32.577452,[60],True,Sensor contact not supported,[1000],True
False,61,2024-06-18 08:52:33.576514,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:34.573420,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:35.567936,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:36.566731,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:37.567273,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:38.567398,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:39.560955,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:40.556396,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:41.553041,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:42.550330,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:43.551722,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:44.544551,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:46.547569,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:46.547793,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:47.539858,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:48.535330,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:49.536139,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:50.532567,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:51.531272,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:52.531603,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:53.523493,[60],True,Sensor contact not supported,[1000],True
False,60,2024-06-18 08:52:54.519471,[60],True,Sensor contact not supported,[1000],True
